Name	Team	Qual 1	Qual 2	Best
Paul Tracy	Forsythe Racing	1:00.870	1:02.889	1:00.870
Rodolfo Lavín	Forsythe Racing	1:02.813	1:00.908	1:00.908
Sébastien Bourdais	Newman/Haas Racing	1:00.974	1:01.355	1:00.974
Mario Domínguez	Herdez Competition	1:02.051	1:01.168	1:01.168
Memo Gidley	Rocketsports Racing	1:02.071	1:01.365	1:01.365
Patrick Carpentier	Forsythe Racing	1:01.398	1:01.579	1:01.398
Justin Wilson	Mi-Jack Conquest Racing	1:02.153	1:01.434	1:01.434
Bruno Junqueira	Newman/Haas Racing	1:01.459	1:05.175	1:01.459
Alex Tagliani	Rocketsports Racing	1:01.539	1:03.073	1:01.539
Ryan Hunter-Reay	Herdez Competition	1:01.742	1:01.566	1:01.566
A. J. Allmendinger	RuSPORT	1:02.135	1:01.588	1:01.588
Michel Jourdain, Jr.	RuSPORT	1:02.463	1:01.777	1:01.777
Oriol Servià	Dale Coyne Racing	1:01.904	1:01.944	1:01.904
Mario Haberfeld	Walker Racing	1:02.712	1:01.911	1:01.911
Jimmy Vasser	PKV Racing	1:02.076	1:01.936	1:01.936
Roberto González	PKV Racing	1:02.634	1:02.163	1:02.163
Alex Sperafico	Mi-Jack Conquest Racing	1:03.657	1:03.347	1:03.347
Gastón Mazzacane	Dale Coyne Racing	1:04.520	1:03.757	1:03.757
