Date	Competition	Ground	Score	Attendance	Report
14 Mar 1992	1. HNL	Maksimir	1–2	15,000	HRnogomet.com
9 May 1992	1. HNL	Poljud	0–0	20,000	HRnogomet.com
15 Nov 1992	1. HNL	Maksimir	1–1	50,000	HRnogomet.com
19 May 1993	Cup	Poljud	4–1	45,000	HRnogomet.com
30 May 1993	1. HNL	Poljud	2–1	30,000	HRnogomet.com
2 Jun 1993	Cup	Maksimir	2–1	45,000	HRnogomet.com
1 Aug 1993	Supercup	Maksimir	4–4	30,000	HRnogomet.com
7 Aug 1993	Supercup	Poljud	0–0	30,000	HRnogomet.com
18 Sep 1993	1. HNL	Poljud	4–2	30,000	HRnogomet.com
27 Mar 1994	1. HNL	Maksimir	4–0	35,000	HRnogomet.com
24 Jul 1994	Supercup	Poljud	1–0	30,000	HRnogomet.com
31 Jul 1994	Supercup	Maksimir	1–0	15,000	HRnogomet.com
27 Nov 1994	1. HNL	Maksimir	1–0	20,000	HRnogomet.com
17 May 1995	Cup	Poljud	3–2	15,000	HRnogomet.com
24 May 1995	1. HNL	Poljud	3–1	30,000	HRnogomet.com
28 May 1995	Cup	Maksimir	0–1	17,000	HRnogomet.com
24 Sep 1995	1. HNL	Maksimir	1–0	30,000	HRnogomet.com
17 Dec 1995	1. HNL	Poljud	2–1	8,000	HRnogomet.com
24 Mar 1996	1. HNL	Maksimir	4–1	40,000	HRnogomet.com
28 Apr 1996	1. HNL	Poljud	3–2	40,000	HRnogomet.com
22 Sep 1996	1. HNL	Maksimir	2–1	30,000	HRnogomet.com
13 Apr 1997	1. HNL	Poljud	1–2	25,000	HRnogomet.com
22 Aug 1997	1. HNL	Poljud	1–0	30,000	HRnogomet.com
18 Feb 1998	1. HNL	Maksimir	2–0	25,000	HRnogomet.com
29 Mar 1998	1. HNL	Maksimir	2–1	18,000	HRnogomet.com
26 Apr 1998	1. HNL	Poljud	1–1	20,000	HRnogomet.com
30 Oct 1998	1. HNL	Poljud	1–1	30,000	HRnogomet.com
21 Mar 1999	1. HNL	Maksimir	1–0	25,000	HRnogomet.com
25 Apr 1999	1. HNL	Poljud	1–0	30,000	HRnogomet.com
19 May 1999	1. HNL	Maksimir	1–1	18,000	HRnogomet.com
23 Oct 1999	1. HNL	Poljud	1–1	30,000	Vjesnik.hr
11 Mar 2000	1. HNL	Maksimir	0–0	30,000	SD.hr
2 May 2000	Cup	Poljud	2–0 1	18,000	SD.hr
13 May 2000	1. HNL	Maksimir	3–1	18,000	SD.hr
16 May 2000	Cup	Maksimir	1–0	20,000	SD.hr
