Tournament	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	LQ	LQ	A	1R	1R	3R	1R	2R	2R	QF	1R	1R	2R	3R	3R
French Open	A	A	A	LQ	1R	1R	1R	3R	2R	1R	SF	3R	4R	1R	3R	4R
Wimbledon	A	A	A	A	1R	1R	2R	2R	1R	1R	3R	3R	1R	A	1R	3R
US Open	A	LQ	A	2R	1R	2R	2R	2R	1R	3R	1R	3R	A	1R	1R	2R
Win–Loss	0–0	0–0	0–0	1–1	0–4	1–4	4–4	4–4	2–4	3–4	11–4	6–4	3–3	1–3	4–4	8–4
ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals
Tour Finals	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	RR	RR	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	A	A	A	A	A	LQ	1R	A	1R	4R	QF	QF	4R	QF	W	2R
Miami	A	A	A	A	1R	QF	2R	2R	3R	4R	F	SF	2R	1R	2R	1R
Monte Carlo	A	A	LQ	3R	LQ	1R	1R	3R	3R	1R	QF	3R	2R	QF	3R	QF
Rome	A	A	A	A	A	1R	3R	QF	2R	3R	1R	2R	1R	A	3R	2R
Hamburg 1	A	A	A	A	LQ	LQ	1R	1R	SF	2R	2R	3R	2R	QF	A	1R
Canada	A	A	A	A	A	2R	1R	1R	2R	1R	3R	1R	A	A	A	A
Cincinnati	A	A	A	2R	A	QF	2R	2R	2R	1R	QF	2R	A	2R	1R	A
Madrid 2	A	A	A	A	LQ	A	3R	1R	SF	F	2R	2R	LQ	QF	2R	1R
Paris	A	A	A	LQ	A	2R	2R	A	2R	F	A	2R	2R	2R	2R	A
Win–Loss	0–0	0–0	0–0	3–2	0–1	9–6	6–9	6–7	16–9	15–9	17–8	10–9	5–6	15–7	10–7	4–6
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Titles–Finals	0–0	0–0	0–0	0–0	0–0	1–1	0–0	0–0	0–1	2–8	3–5	2–4	0–1	1–1	1–2	0–1
Overall Win–Loss	1–1	1–4	2–3	11–14	23–22	29–22	29–29	29–25	37–24	57–24	61–20	44–23	19–18	32–23	26–19	25–20
Year-End Ranking	576	289	293	77	91	37	49	42	22	9	5	18	45	24	17	30
