# s Dam and GNIS query Link	# s Lake and GNIS query Link	# s Reservoir and GNIS query Link	Borough or Census area	Comment
5	27	0	Aleutians East	Lakes in table; Reservoirs Done
15	134	0	Aleutians West (CA)	Lakes ?; Reservoirs Done
8	58	6	Anchorage	Lakes and Reservoirs in table.
0	81	0	Bethel (CA)	Lakes ?; Reservoirs Done
0	0	0	Bristol Bay	Lakes and Reservoirs Done
0	50	0	Denali	Lakes in table; Reservoirs Done
0	55	0	Dillingham (CA)	Lakes ?; Reservoirs Done
3	19	1	Fairbanks North Star	Lakes and Reservoirs in table.
3	10	0	Haines	Lakes in table; Reservoirs Done.
6	55	3	Hoonah-Angoon (CA)	Lakes and Reservoirs in table.
8	31	5	Juneau	Lakes and Reservoirs in table.
10	440	4	Kenai Peninsula	Lakes ?; Reservoirs in table.
12	57	8	Ketchikan Gateway	Lakes ?; Reservoirs in table.
31	82	11	Kodiak Island	Lakes ?; Reservoirs in table.
3	83	0	Lake and Peninsula	Lakes ?; Reservoirs Done
5	451	1	Matanuska-Susitna	Lakes ?; Reservoirs in table.
1	36	0	Nome (CA)	Lakes in table; Reservoirs Done
2	142	2	North Slope	Lakes ?; Reservoirs in table.
1	80	1	Northwest Arctic	Lakes ?; Reservoirs in table.
9	163	4	P. of Wales-O. Ketchikan (CA)	Lakes ?; Reservoirs in table.
9	90	3	Sitka	Lakes ?; Reservoirs in table.
3	9	3	Skagway	Lakes and Reservoirs in table.
0	130	0	Southeast Fairbanks (CA)	Lakes ?; Reservoirs in table.
22	293	10	Valdez-Cordova (CA)	Lakes ?; Reservoirs in table.
1	21	0	Wade Hampton (CA)	Lakes in table; Reservoirs Done
8	60	5	Wrangell-Petersburg (CA)	Lakes ?; Reservoirs in table.
0	26	0	Yakutat	Lakes in table; Reservoirs Done
2	513	0	Yukon-Koyukuk (CA)	Lakes ?; Reservoirs Done
