Week	Date	Opponent	Result	Game site	Attendance
1	1961-09-09	at Boston Patriots	W 21–20	Nickerson Field	16,684
2	1961-09-17	at Buffalo Bills	L 41–31	War Memorial Stadium	15,584
3	1961-09-24	Denver Broncos	W 35–28	Polo Grounds	14,381
4	1961-10-01	Boston Patriots	W 37–30	Polo Grounds	15,189
5	Bye	Bye	Bye	Bye	Bye
6	1961-10-15	San Diego Chargers	L 25–10	Polo Grounds	25,136
7	1961-10-22	at Denver Broncos	L 27–10	Bears Stadium	12,508
8	1961-10-29	at Oakland Raiders	W 14–6	Candlestick Park	7,138
9	1961-11-05	at San Diego Chargers	L 48–13	Balboa Stadium	33,391
10	1961-11-11	Oakland Raiders	W 23–12	Polo Grounds	16,311
11	1961-11-19	at Houston Oilers	L 49–13	Jeppesen Stadium	33,428
12	1961-11-23	Buffalo Bills	W 21–14	Polo Grounds	12,023
13	1961-12-03	Dallas Texans	W 28–7	Polo Grounds	14,117
14	1961-12-10	Houston Oilers	L 48–21	Polo Grounds	9,462
15	1961-12-17	at Dallas Texans	L 35–24	Cotton Bowl	12,500
