Week	Date	Opponent	Result	Attendance
1	September 28, 1952	Los Angeles Rams	W 37–7	57,832
2	October 4, 1952	at Pittsburgh Steelers	W 21–20	27,923
3	October 12, 1952	New York Giants	L 17–9	51,858
4	October 19, 1952	at Philadelphia Eagles	W 49–7	27,874
5	October 26, 1952	Washington Redskins	W 19–15	32,496
6	November 2, 1952	at Detroit Lions	L 17–6	56,029
7	November 9, 1952	Chicago Cardinals	W 28–13	34,097
8	November 16, 1952	Pittsburgh Steelers	W 29–28	34,973
9	November 23, 1952	Philadelphia Eagles	L 28–20	28,948
10	November 30, 1952	at Washington Redskins	W 48–24	22,679
11	December 7, 1952	at Chicago Cardinals	W 10–0	24,541
12	December 14, 1952	at New York Giants	L 37–34	41,610
