Date	Opponent	Score	Loss	Record
July 1	Indians	9–3	Hood (4–4)	27–48
July 2	Indians	2–0	Lemanczyk (2–10)	27–49
July 2	Indians	3–1	Freisleben (0–2)	28–49
July 3	@ Tigers	6–5	Murphy (2–6)	28–50
July 4	@ Tigers	9–2	Morris (1–4)	29–50
July 5	@ Orioles	3–1	Garvin (2–9)	29–51
July 5	@ Orioles	8–6	Murphy (2–7)	29–52
July 6	@ Orioles	2–0	Palmer (10–7)	30–52
July 7	@ White Sox	3–2	Hinton (1–2)	31–52
July 8	@ White Sox	3–0	Kravec (7–6)	32–52
July 9	@ White Sox	5–3	Underwood (5–8)	32–53
July 13	@ Angels	5–0	Lemanczyk (3–11)	32–54
July 14	@ Angels	3–2 (11)	Willis (1–4)	32–55
July 15	@ Athletics	3–2	Underwood (5–9)	32–56
July 16	@ Athletics	8–5	Willis (1–5)	32–57
July 17	@ Athletics	5–3	Garvin (2–10)	32–58
July 18	@ Mariners	13–12 (10)	Pole (4–11)	33–58
July 19	@ Mariners	6–2	Jefferson (6–8)	33–59
July 21	Athletics	7–2	Moore (4–2)	33–60
July 21	Athletics	5–4	Lacey (6–5)	34–60
July 22	Athletics	7–3	Johnson (7–6)	35–60
July 23	Athletics	5–3	Garvin (2–11)	35–61
July 24	Mariners	1–0	Lemanczyk (3–12)	35–62
July 24	Mariners	7–2	Jefferson (6–9)	35–63
July 25	Mariners	4–2	Underwood (5–10)	35–64
July 26	@ Twins	5–1	Goltz (9–7)	36–64
July 27	@ Twins	6–3	Clancy (7–8)	36–65
July 28	Brewers	3–2 (11)	Castro (3–2)	37–65
July 29	Brewers	4–3	Sorensen (12–8)	38–65
July 30	Brewers	10–5	Murphy (4–8)	38–66
July 31	Tigers	8–7 (14)	Sykes (5–5)	39–66
