Year	Entrant	Chassis	Engine	Pts.
1978	Olympus Cameras / Hesketh Racing	Hesketh 308E	Ford V8	1
1978	Team Tissot Ensign	Ensign N177	Ford V8	1
1979	Team Ensign	Ensign N177	Ford V8	0
1979	Team Ensign	Ensign N179	Ford V8	0
1979	Candy Tyrrell Team	Tyrrell 009	Ford V8	0
1980	Candy Tyrrell Team	Tyrrell 009	Ford V8	6
1980	Candy Tyrrell Team	Tyrrell 010	Ford V8	6
1981	March Grand Prix Team	March 811	Ford V8	0
1982	Theodore Racing Team	Theodore TY01	Ford V8	8
1982	Theodore Racing Team	Theodore TY02	Ford V8	8
1982	TAG Williams Team	Williams FW08	Ford V8	8
