Outcome	Date	Championship	Surface	Opponent	Score
Winner	1981	Johannesburg , South Africa	Hard	Bernard Mitton	6–4, 6–4
Runner-up	1982	Los Angeles , U.S.	Carpet	Ivan Lendl	6–7 (5–7) , 5–7, 1–6
Runner-up	1982	Amsterdam , Netherlands	Carpet	Wojtek Fibak	5–7, 6–3, 4–6, 3–6
Winner	1982	Cologne , Germany	Hard (i)	Shlomo Glickstein	2–6, 6–2, 6–3
Runner-up	1983	Milan , Italy	Carpet	Ivan Lendl	7–5, 3–6, 6–7
Runner-up	1984	Australian Open	Grass	Mats Wilander	7–6 (7–5) , 4–6, 6–7 (3–7) , 2–6
Winner	1985	Toronto , Canada	Carpet	Anders Järryd	7–6 (8–6) , 6–3
Runner-up	1985	Houston , U.S.	Carpet	John McEnroe	5–7, 1–6, 6–7 (4–7)
Runner-up	1985	Wimbledon	Grass	Boris Becker	3–6, 7–6 (7–4) , 6–7 (3–7) , 4–6
Winner	1986	Atlanta , U.S.	Carpet	Tim Wilkison	7–6 (7–5) , 7–6 (7–2)
Runner-up	1986	Scottsdale , U.S.	Hard	John McEnroe	3–6, 6–3, 2–6
Runner-up	1988	Toronto , Canada	Hard	Ivan Lendl	6–7 (10–12) , 2–6
Winner	1989	Frankfurt , Germany	Carpet	Petr Korda	6–2, 7–5
