Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	CA Osasuna	30	42	17	8	5	76	33	+43
2	Real Oviedo	30	41	18	5	7	78	33	+45
3	Real Zaragoza	30	40	18	4	8	57	27	+30
4	Caudal Deportivo	30	34	13	8	9	49	37	+12
5	CD Sabadell CF	30	33	13	7	10	50	44	+6
6	Club Ferrol	30	32	11	10	9	44	47	-3
7	Real Gijón CF	30	32	14	4	12	51	46	+5
8	SD Indauchu	30	30	12	6	12	53	50	+3
9	CD Tarrasa	30	28	10	8	12	46	59	-13
10	Baracaldo AH	30	28	10	8	12	45	54	-9
11	Real Santander	30	28	12	4	14	47	47	0
12	UD Lérida	30	26	11	4	15	53	63	-10
13	CP La Felguera	30	26	10	6	14	35	57	-22
14	SD Eibar	30	25	9	7	14	40	55	-15
15	Club Sestao	30	19	6	7	17	24	58	-34
16	CD Logroñés	30	16	4	8	18	38	76	-38
