Round	Date	Grand Prix	Circuit	Pole Position	Fastest Lap	Race Winner
1	March 29	Spanish Grand Prix	Jerez	Luis Salom	Daijiro Hiura	Luis Salom
1	March 30	Spanish Grand Prix	Jerez	Luis Salom	Nelson Major	Luis Salom
2	April 12	Portuguese Grand Prix	Estoril	Daijiro Hiura	Daijiro Hiura	Daijiro Hiura
3	May 17	French Grand Prix	Le Mans Bugatti Circuit	Luis Salom	J. D. Beach	Luis Salom
4	May 31	Italian Grand Prix	Mugello Circuit	Péter Sebestyén	Luis Salom	Luis Salom
5	June 21	British Grand Prix	Donington Park	Daijiro Hiura	Sturla Fagerhaug	Miguel Oliveira
6	June 28	Dutch TT	TT Circuit Assen	Sturla Fagerhaug	Miguel Oliveira	Miguel Oliveira
7	July 12	German Grand Prix	Sachsenring	Luis Salom	Daniel Kartheininger	J. D. Beach
8	August 16	Czech Republic Grand Prix	Brno	Mathew Scholtz	Nico Thöni	Mathew Scholtz
8	August 17	Czech Republic Grand Prix	Brno	Mathew Scholtz	Matthew Hoyle	Sturla Fagerhaug
