Outcome	Year	Tournament	Surface	Partner	Opponents	Score
Winner	1991	Miami	Hard	Piet Norval	Ken Flach Robert Seguso	5–7, 7–6, 6–2
Runner-up	1992	Rome	Clay	Mark Kratzmann	Jakob Hlasek Marc Rosset	4–6, 6–3, 1–6
Runner-up	1993	Rome	Clay	Mark Kratzmann	Jacco Eltingh Paul Haarhuis	4–6, 6–7
Runner-up	1994	Rome	Clay	Javier Sánchez	Yevgeny Kafelnikov David Rikl	1–6, 5–7
Runner-up	1994	Cincinnati	Hard	Mark Kratzmann	Alex O'Brien Sandon Stolle	7–6, 3–6, 2–6
Winner	1995	Hamburg	Clay	Yevgeny Kafelnikov	Byron Black Andrei Olhovskiy	6–1, 7–6
Runner-up	1999	Canada	Hard	Byron Black	Jonas Björkman Patrick Rafter	6–7, 4–6
Runner-up	2000	Rome	Clay	Yevgeny Kafelnikov	Martin Damm Dominik Hrbatý	4–6, 6–4, 3–6
Winner	2000	Monte Carlo	Clay	Yevgeny Kafelnikov	Paul Haarhuis Sandon Stolle	6–3, 2–6, 6–1
Winner	2001	Indian Wells	Hard	Yevgeny Kafelnikov	Jonas Björkman Todd Woodbridge	6–2, 7–5
Winner	2001	Rome	Clay	Yevgeny Kafelnikov	Daniel Nestor Sandon Stolle	6–4, 7–6
Winner	2003	Indian Wells	Hard	Yevgeny Kafelnikov	Bob Bryan Mike Bryan	3–6, 7–5, 6–4
