Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1977	Kurt Duschek	Barbara Baker	Kurt Duschek Karl Klammsteiner	Margitt Grittner Rita Blaas	Kurt Duschek Rita Blaas
1978	Paolo de Paoli	Wally Raffeiner	Paolo de Paoli Hubert Grittner	Margit Grittner Wally Raffeiner	Hubert Grittner Margit Grittner
1979	Paolo de Paoli	Margit Grittner	Hubert Grittner Karl Klammsteiner	Rita Tischler V. Egger	Paolo de Paoli T. Roncalli
1980	Paoli de Paoli	Rita Tischler	Paolo de Paoli E. Perolari	Christine Klotzner Resi Klotzner	Karl Klammsteiner Christine Klotzner
1981	Paolo de Paoli	Christine Klotzner	Hubert Grittner Karl Klammsteiner	Christine Klotzner Resi Klotzner	Kurt Duschek Christine Klotzner
1982	Paolo de Paoli	Charlotte Punter	Andrea Ortner S. Faccioli	Christine Klotzner Resi Klotzner	S. Faccioli Margit Grittner
1983	Paolo de Paoli	Christine Klotzner	Kurt Duschek S. Faccioli	Christine Klotzner Resi Klotzner	S. Faccioli Christine Klotzner
1984	Kurt Salutt	Christine Klotzner	Kurt Duschek Andrea Ortner	Claudia Nista Eva Stecher	Andrea Ortner Christie Klotzner
1985	Kurt Salutt	Christine Klotzner	Andrea Ortner S. Faccioli	Claudia Nista Eva Stecher	Kurt Salutt Claudia Nista
1986	Kurt Salutt	Christine Klotzner	Anton Klotzner Karl Freund	Claudia Nista Eva Stecher	Kurt Salutt Claudia Nista
1987	Kurt Salutt	Claudia Nista	Claus Ring Pier Carlo Barioli	Claudia Nista Eva Stecher	Kurt Salutt Claudia Nista
1988	Stefan Kantioler	Claudia Nista	Kurt Salutt Karl Prugger	Claudia Nista Maria Luisa Mur	Kurt Salutt Claudia Nista
1989	Anton Klotzner	Marie Luisa Mur	Giorgio Bianchi Kurt Salutt	Claudia Nista Maria Luisa Mur	Kurt Salutt Claudia Nista
1990	Anton Klotzner	Petra Schrott	Giorgio Bianchi Kurt Salutt	Petra Schrott Tanja Egger	Roland Osele Petra Schrott
1991	Anton Klotzner	Petra Schrott	Giorgio Bianchi Kurt Salutt	Petra Schrott Tanja Egger	Kurt Salutt Claudia Nista
1992	Anton Klotzner	Petra Schrott	Andreas Pichler Anton Klotzner	Petra Schrott Tanja Egger	Anton Klotzner Petra Schrott
1993	Andreas Pichler	Petra Schrott	Jochen Pichler Alexander Rieder	Petra Schrott Tanja Egger	Anton Klotzner Claudia Nista
1994	Andreas Pichler	Beate Dejaco	Andreas Pichler Jochen Pichler	Claudia Nista Maria Luisa Mur	Enrico La Rosa Maria Luisa Mur
1995	Gianmarco La Rosa	Beate Dejaco	Luigi Izzo Enrico La Rosa	Claudia Nista Maria Luisa Mur	Klaus Raffeiner Thea Gotsch
1996	Klaus Raffeiner	Beate Dejaco	Klaus Raffeiner Alexander Theiner	Monica Memoli Maria Luisa Mur	Gianmarco La Rosa Monica Memoli
1997	Klaus Raffeiner	Monica Memoli	Klaus Raffeiner Alexander Theiner	Monica Memoli Maria Luisa Mur	Alexander Theiner Monica Memoli
1998	Klaus Raffeiner	Petra Schrott	Klaus Raffeiner Alexander Theiner	Monica Memoli Maria Luisa Mur	Andreas Pichler Petra Schrott
1999	Klaus Raffeiner	Petra Schrott	Klaus Raffeiner Alexander Theiner	Monica Memoli Maria Luisa Mur	Simone Vincenti Maria Luisa Mur
2000	Klaus Raffeiner	Erika Henriete Stich	Klaus Raffeiner Alexander Theiner	Agnese Allegrini Maria Luisa Mur	Klaus Raffeiner Petra Schrott
2001	Klaus Raffeiner	Agnese Allegrini	Klaus Raffeiner Alexander Theiner	Agnese Allegrini Erika Henriete Stich	Klaus Raffeiner Petra Schrott
2002	Klaus Raffeiner	Agnese Allegrini	Cristiano Bevilacqua Christian Bernhard	Monica Memoli Maria Luisa Mur	Klaus Raffeiner Petra Schrott
2003	Klaus Raffeiner	Agnese Allegrini	Cristiano Bevilacqua Christian Bernhard	Agnese Allegrini Federica Panini	Klaus Raffeiner Petra Schrott
2004	Klaus Raffeiner	Monica Memoli	Klaus Raffeiner Alexander Theiner	Monica Memoli Maria Luisa Mur	Klaus Raffeiner Petra Schrott
2005	Klaus Raffeiner	Erika Stich	Klaus Raffeiner Alexander Theiner	Federica Panini Erika Stich	Giovanni Traina Federica Panini
2006	Klaus Raffeiner	Monica Memoli	Klaus Raffeiner Alexander Theiner	Verena Leiter Maria Luise Mur	Klaus Raffeiner Maria Luise Mur
2007	Giovanni Greco	Verena Leiter	Rosario Maddaloni Enrico Galeani	Verena Leiter Maria Luise Mur	Giovanni Traina Federica Panini
2008	Marco Mondavio	Elena Chepurnova	Luigi Izzo Giovanni Traina	Verena Leiter Maria Luise Mur	Enrico Galeani Maria Luise Mur
2009	Giovanni Greco	Elena Chepurnova	Luigi Izzo Giovanni Traina	Federica Panini Erika Stich	Giovanni Traina Federica Panini
2010	Rosario Maddaloni	Federica Panini	Giovanni Greco Pierluigi Musiari	Federica Panini Erika Stich	Giovanni Traina Federica Panini
2011	Giovanni Greco	Agnese Allegrini	Giacomo Battaglino Marco Mondavio	Federica Panini Erika Stich	Giovanni Traina Federica Panini
