Pick	Round	Player	Position	School
6	Round 1	Eric Curry	Defensive End	Alabama
34	Round 2	Demetrius DuBose	Linebacker	Notre Dame
60	Round 3	Lamar Thomas	Wide Receiver	Miami
82	Round 3	John Lynch	Defensive Back	Stanford
91	Round 4	Rudy Harris	Running Back	Clemson
104	Round 4	Horace Copeland	Wide Receiver	Miami
145	Round 6	Chidi Ahanotu	Defensive Tackle	California
176	Round 7	Tyree Davis	Wide Receiver	Central Arkansas
220	Round 8	Darrick Branch	Wide Receiver	Hawaii
224	Round 8	Daron Alcorn	Kicker	Akron
