Rank	Country	Miss Universe	1st Runner-up	2nd Runner-up	3rd Runner-up	4th Runner-up	Semifinalists	Total
1	USA	8	8	6	1	5	28	56
2	Venezuela	6	6	6	4	2	14	38
3	Puerto Rico	5	1	2	1	3	7	19
4	Sweden	3	1	2	3	4	16	29
5	Brazil	2	5	1	2	4	17	31
6	Finland	2	3	5	1	1	6	18
7	Philippines	2	2	0	4	2	7	17
8	Australia	2	1	3	2	2	6	16
9	Japan	2	1	1	2	3	9	18
10	India	2	1	1	1	1	14	20
11	Canada	2	1	1	1	0	11	16
12	Mexico	2	0	1	2	2	10	17
13	Trinidad & Tobago	2	0	1	0	1	5	9
14	Thailand	2	0	1	0	0	4	7
15	Colombia	1	4	2	3	1	19	30
16	Spain	1	1	3	1	1	8	15
17	Dominican Republic	1	1	2	0	0	3	7
18	South Africa	1	1	1	2	0	15	20
19	Greece	1	1	1	1	0	14	18
20	Norway	1	1	1	0	0	14	17
21	Germany	1	1	0	2	3	14	21
22	Netherlands	1	1	0	0	1	9	12
23	Israel	1	0	1	2	3	13	20
24	Argentina	1	0	1	0	1	11	14
25	New Zealand	1	0	1	0	0	3	5
26	Russia	1 (dethroned)	0	0	1	0	6	8
27	Peru	1	0	0	0	0	16	17
28	France	1	0	0	0	0	15	16
29	Chile	1	0	0	0	0	12	13
30	Panama	1 (ascended)	0	0	0	0	7	8
31	Angola	1	0	0	0	0	3	4
32	Lebanon	1	0	0	0	0	2	3
33	Namibia	1	0	0	0	0	1	2
34	Botswana	1	0	0	0	0	0	1
35	Italy	0	2	1	0	1	11	15
36	Wales	0	2	1	0	0	2	5
37	England	0	1	3	3	2	10	19
38	Scotland	0	1	1	1	0	2	5
39	Austria	0	1	1	0	0	5	7
40	Hawaii	0	1	1	0	0	0	2
41	Korea	0	1	0	1	1	5	8
42	Ukraine	0	1	0	1	0	2	4
43	Aruba	0	1	0	0	1	0	2
44	Denmark	0	1	0	0	0	7	8
45	Iceland	0	1	0	0	0	4	5
45	Jamaica	0	1	0	0	0	4	5
47	Curaçao	0	1	0	0	0	3	4
47	El Salvador	0	1	0	0	0	3	4
49	Guam	0	1	0	0	0	1	2
49	Haiti	0	1	0	0	0	1	2
51	Bermuda	0	1	0	0	0	0	1
52	Ireland	0	0	2	0	0	6	8
53	Hong Kong	0	0	1	1	1	3	6
54	Switzerland	0	0	1	1	0	9	11
55	China	0	0	1	0	1	0	2
56	Kosovo	0	0	1	0	0	3	4
57	Zaire	0	0	1	0	0	1	2
58	Sri Lanka	0	0	1	0	0	0	1
58	USSR	0	0	1	0	0	0	1
60	Poland	0	0	0	2	1	2	5
61	Paraguay	0	0	0	2	0	2	4
62	Taiwan	0	0	0	1	1	1	3
63	Cuba	0	0	0	1	0	1	2
64	Serbia & Montenegro	0	0	0	1	0	0	1
65	Belgium	0	0	0	0	1	8	9
66	Uruguay	0	0	0	0	1	5	6
67	Czech Republic	0	0	0	0	0	6	6
68	Albania	0	0	0	0	0	3	3
68	Bolivia	0	0	0	0	0	3	3
68	Costa Rica	0	0	0	0	0	3	3
68	Guatemala	0	0	0	0	0	3	3
68	Hungary	0	0	0	0	0	3	3
68	Turkey	0	0	0	0	0	3	3
68	Yugoslavia	0	0	0	0	0	3	3
73	Croatia	0	0	0	0	0	2	2
73	Czechoslovakia	0	0	0	0	0	2	2
73	Ecuador	0	0	0	0	0	2	2
73	Estonia	0	0	0	0	0	2	2
73	Nicaragua	0	0	0	0	0	2	2
73	Singapore	0	0	0	0	0	2	2
73	Tahiti	0	0	0	0	0	2	2
81	Alaska	0	0	0	0	0	1	1
81	Belize	0	0	0	0	0	1	1
81	Cyprus	0	0	0	0	0	1	1
81	Ethiopia	0	0	0	0	0	1	1
81	Ghana	0	0	0	0	0	1	1
81	Honduras	0	0	0	0	0	1	1
81	Indonesia	0	0	0	0	0	1	1
81	Latvia	0	0	0	0	0	1	1
81	Malaysia	0	0	0	0	0	1	1
81	Morocco	0	0	0	0	0	1	1
81	New Hebrides	0	0	0	0	0	1	1
81	Nigeria	0	0	0	0	0	1	1
81	Portugal	0	0	0	0	0	1	1
81	Slovak Republic	0	0	0	0	0	1	1
81	Slovenia	0	0	0	0	0	1	1
81	Suriname	0	0	0	0	0	1	1
81	Tanzania	0	0	0	0	0	1	1
81	Turks & Caicos	0	0	0	0	0	1	1
81	U.S. Virgin Islands	0	0	0	0	0	1	1
81	Vietnam	0	0	0	0	0	1	1
