No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
51	1	" iThink They Kissed "	Adam Weissman	Steve Holland	September12,2009	227	7.6
52	2	" iCook "	Roger Christiansen	Dan Schneider	September19,2009	228	3.8
53	3	" iSpeed Date "	Russ Reinsel	Andrew Hill Newman	September26,2009	230	4.7
54	4	" iCarly Awards "	Steve Hoefer	Andrew Hill Newman	October3,2009	223	4.4
55	5	" iHave My Principals "	David Kendall	Matt Fleckenstein	October17,2009	229	4.7
56	6	" iFind Lewbert's Lost Love "	David Kendall	Matt Fleckenstein	November14,2009	236	5.0
57	7	" iMove Out "	Steve Hoefer	Arthur Gradstein	November28,2009	241	5.7
58–59	8–9	"iQuit iCarly"	Steve Hoefer	Dan Schneider	December5,2009	233–234	8.8
61	11	" iWas a Pageant Girl "	Adam Weissman	Andrew Hill Newman	January29,2010	237	5.2
62	12	" iEnrage Gibby "	Jonathan Goldstein	Jake Farrow	February5,2010	235	4.8
63	13	" iSpace Out "	Russ Reinsel	Jake Farrow	March5,2010	239	5.3
64	14	" iFix a Pop Star "	Steve Hoefer	Matt Fleckenstein	March19,2010	231	3.8
65	15	" iBloop "	Steve Hoefer	Dan Schneider	April17,2010	245	4.3
66	16	" iWon't Cancel the Show "	Steve Hoefer	Eric Goldberg & Peter Tibbals	May1,2010	238	4.9
67	17	" iBelieve in Bigfoot "	Steve Hoefer	Dan Schneider	May8,2010	240	4.4
68–69	18–19	"iPsycho"	Steve Hoefer	Dan Schneider & Ben Huebscher	June4,2010	243–244	7.5
