Date	Location	Opponent	Cyclones Points	Opp. Points	Record
Nov. 16/08	Ames	UMKC	77	45	1-0
Nov. 20/08	Cedar Falls, Iowa	Northern Iowa	79	54	2-0
Nov. 23/08	Omaha, NE	Creighton	63	59	3-0
Nov. 28/08	Honolulu	Prairie View A&M	75	59	4-0
Nov. 29/08	Honolulu	Stanford	45	83	4-1
Nov. 30/08	Honolulu	San Diego State	87	71	5-1
Dec. 7/08	Iowa City, IA	Iowa	46	66	5-2
Dec. 11/08	Ames	Drake	65	52	6-2
Dec. 14/08	Ames	Detroit Mercy	75	39	7-2
Dec. 21/08	Ames	Minnesota	58	42	8-2
Dec. 29/08	Ames	Niagara	89	39	9-2
Dec. 30/08	Ames	North Dakota	76	46	10-2
Jan. 3/09	Ames	Vanderbilt	55	51	11-2
Jan. 7/09	Ames	IPFW	84	57	12-2
Jan. 10/09	Ames	Oklahoma State	63	55	13-2
Jan. 14/09	Waco, TX	Baylor	57	68	13-3
Jan. 17/09	Manhattan, KS	Kansas State	52	59	13-4
Jan. 21/09	Ames	Missouri	65	42	14-4
Jan. 24/09	Lincoln, NE	Nebraska	62	48	15-4
Jan. 31/09	Ames	Kansas State	60	50	16-4
Feb. 4/09	Ames	Texas A&M	67	50	17-4
Feb. 7/09	Boulder, CO	Colorado	53	47	18-4
Feb. 11/09	Norman, OK	Oklahoma	49	58	18-5
Feb. 15/09	Ames	Texas	52	55	18-6
