Game	February	Opponent	Score	Record
52	3	@ Boston Bruins	7 - 3	35-13-4
53	4	Atlanta Flames	6 - 0	36-13-4
54	7	New York Islanders	6 - 0	37-13-4
55	10	@ New York Islanders	6 - 0	38-13-4
56	11	Montreal Canadiens	2 - 2	38-13-5
57	14	@ Montreal Canadiens	6 - 3	38-14-5
58	15	@ Buffalo Sabres	4 - 1	38-15-5
59	18	New York Islanders	3 - 2	39-15-5
60	21	@ Los Angeles Kings	4 - 3	40-15-5
61	23	@ California Golden Seals	5 - 3	40-16-5
62	25	Minnesota North Stars	6 - 5	41-16-5
63	28	Chicago Black Hawks	3 - 3	41-16-6
