Nat.	Name	Moving to	Type	Transfer window	Transfer fee
SCO	Nicholas Gallacher	Motherwell	End of contract	Summer	n/a
Ivory Coast	Lacine Cherif	Kilmarnock	End of contract	Summer	n/a
SCO	Alistair Park	Hibernian	End of contract	Summer	n/a
ENG	Michael Donald	Free Agent	End of contract	Summer	n/a
SCO	Calum Reidford	Dunfermline Athletic	End of contract	Summer	n/a
SCO	Chris Smith	Greenock Morton	End of contract	Summer	n/a
BEL	Jeroen Van Den Broeck	AGOVV	End of contract	Summer	n/a
Slovakia	Filip Šebo	Valenciennes	Transfer	Summer	£1m
BEL	Thomas Buffel	CercleBrugge	Transfer	Summer	n/a
ESP	Carlos Cuéllar	Aston Villa	Transfer	Summer	£7.8m
SCO	Steven Lennon	Partick Thistle	Loan	Summer	n/a
SCO	Mark Weir	Kilmarnock	Loan	Summer	n/a
SCO	Andy Webster	Bristol City	Loan	Summer	n/a
RSA	Dean Furman	Bradford City	Loan	Summer	n/a
SCO	Alan Lowing	Clyde	Loan	Summer	n/a
SCO	Paul Emslie	Clyde	Loan	Summer	n/a
SCO	Scott Gallacher	Cowdenbeath	Loan	Summer	n/a
Gabon	Daniel Cousin	Hull City	Transfer	Summer	£3.5m
SCO	Alan Gow	Blackpool	Loan	Summer	n/a
ENG	Lee Robinson	St Johnstone	Loan	n/a	n/a
SCO	Andrew Shinnie	Dundee	Loan	n/a	n/a
SCO	Steven Kinniburgh	Queen of the South	Loan	n/a	n/a
SCO	Rory Loy	Dunfermline Athletic	Loan	n/a	n/a
SCO	William McLachlan	Airdrie United	Loan	n/a	n/a
SCO	Lee Robinson	Queen of the South	Loan	n/a	n/a
FRA	Jean-Claude Darcheville	Valenciennes	Transfer	Winter	Free
SCO	Jordan McMillan	Hamilton Academical	Loan	Winter	n/a
SCO	Chris Burke	Cardiff City	Transfer	Winter	Free
CYP	Georgios Efrem	Dundee	Loan	Winter	n/a
SCO	Alan Gow	Norwich City	Loan	Winter	n/a
SCO	Charlie Adam	Blackpool	Loan	Winter	n/a
SCO	Ross Harvey	Brechin City	Loan	n/a	n/a
SCO	Steven Kinniburgh	St Johnstone	Loan	n/a	n/a
