Conference	# of Bids	Record	Win %	Round of 32	Sweet Sixteen	Elite Eight	Final Four	Championship Game
Southeastern	6	13–5	.722	5	4	3	2	2
Atlantic Coast	4	6–4	.600	4	4	1	1	–
Atlantic 10	4	4–4	.500	4	–	–	–	–
Big West	4	4–4	.500	2	2	1	–	–
Big Ten	3	3–3	.500	3	2	–	–	–
Big East	3	0–3	–	–	–	–	–	–
Metro	3	0–3	–	–	–	–	–	–
Pacific-10	2	3–2	.600	2	1	1	–	–
Southwest	2	2–2	.500	1	1	1	–	–
Big Eight	2	1–2	.333	2	–	–	–	–
Metro Atlantic	2	1–2	.333	1	–	–	–	–
Southland	2	1–2	.333	1	1	–	–	–
Sun Belt	2	1–2	.333	1	–	–	–	–
American South	1	3–1	.750	1	1	1	1	–
Big Sky	1	1–1	.500	1	–	–	–	–
Colonial	1	1–1	.500	1	–	–	–	–
Mid-American	1	1–1	.500	1	–	–	–	–
Missouri Valley	1	1–1	.500	1	–	–	–	–
Ohio Valley	1	1–1	.500	1	–	–	–	–
