No. in series	No. in season	Title	Directed by	Written by	Original U.S. air date	Prod. code	Viewers (millions)
50	1	"The Silent Treatment"	Phill Lewis	Dan Signer	July2,2010	305	3.4
51	2	"Rat Tale"	Joel Zwick	Jeff Hodsden & Tim Pollock	July9,2010	308	N/A
52	3	"So You Think You Can Date?"	Joel Zwick	Mark Amato & Sally Lapiduss	July16,2010	306	3.4
53	4	"My Oh Maya"	Joel Zwick	Jeff Hodsden & Tim Pollock	July23,2010	301	N/A
54	5	"Das Boots"	Carl Lauten	Pamela Eells O'Connell	July30,2010	303	N/A
55	6	"Bon Voyage"	Adam Weissman	Adam Lapidus	August20,2010	304	4.0
56	7	"Computer Date"	Joel Zwick	Jeny Quine	August27,2010	302	N/A
57	8	"Party On!"	Joel Zwick	Jeff Hodsden & Tim Pollock	September10,2010	309	4.0
58	9	"Love and War"	Eric Dean Seaton	Jeny Quine	September24,2010	311	2.8
60	11	"The Ghost and Mr. Martin"	Joel Zwick	Adam Lapidus & Jeny Quine	October8,2010	310	3.3
61	12	"Senior Ditch Day"	Phill Lewis	Mark Amato & Sally Lapiduss	October22,2010	320	3.5
62	13	"My Sister's Keeper"	Phill Lewis	Jeny Quine	November5,2010	315	3.2
63	14	"Frozen"	Phill Lewis	Dan Signer	November27,2010	312	N/A
64	15	"A London Carol"	Shelley Jensen	Jeff Hodsden & Tim Pollock	December3,2010	313	4.1
65	16	"The Play's the Thing"	Joel Zwick	Pamela Eells O'Connell	January7,2011	314	3.6
66	17	"Twister: Part 1"	Bob Koherr	Adam Lapidus	January14,2011	316	4.4
67	18	"Twister: Part 2"	Bob Koherr	Jeff Hodsden & Tim Pollock	January15,2011	317	5.2
68	19	"Twister: Part 3"	Bob Koherr	Dan Signer	January16,2011	318	7.1
69	20	"Snakes on a Boat"	Phill Lewis	Dan Signer & Adam Lapidus	March4,2011	319	3.8
70	21	"Prom Night"	Eric Dean Seaton	Jeff Hodsden & Tim Pollock	March18,2011	321	3.02
