Country	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988
United States	31	37	32	32	31	34	39	41	41	49	47	48	51	56	55	56	58	56	52	49	53	60	58	55	59
Australia	9	10	9	10	10	12	11	12	11	7	9	5	5	6	9	8	7	8	8	9	11	11	12	12	9
England	8	8	11	11	8	9	11	11	7	7	4	4	1	2	3	3	4	5	8	9	7	5	3	6	4
Sweden	8	4	4	4	7	6	6	3	4	3	4	6	5	4	4	3	2	3	4	5	3	0	0	1	1
South Africa	6	8	6	8	9	7	6	5	5	5	4	3	3	3	3	3	3	2	5	5	3	3	2	2	3
Spain	6	5	4	4	5	4	4	3	2	5	2	3	4	3	2	3	1	4	3	3	3	3	4	4	2
Japan	4	6	8	8	8	3	5	5	4	4	5	9	9	7	5	5	6	7	3	3	5	4	4	5	8
South Korea	4	4	4	2	1	2	3	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scotland	4	2	2	0	0	1	1	1	3	3	2	5	4	3	3	3	3	2	4	4	3	4	4	3	3
Denmark	3	2	2	3	3	3	1	1	2	1	3	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Northern Ireland	2	3	3	2	4	0	1	2	2	1	1	1	1	1	1	1	1	1	3	3	2	2	2	2	1
Italy	2	3	3	2	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0
Germany	2	1	1	1	1	2	0	1	2	2	2	1	1	2	1	1	2	2	1	1	1	1	1	1	1
Ireland	2	1	1	1	1	1	2	2	2	1	2	2	3	1	1	2	3	1	0	0	1	1	3	2	2
Thailand	2	0	1	2	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
India	2	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wales	1	1	2	0	0	1	2	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
Fiji	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Belgium	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Austria	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zimbabwe	1	0	0	0	0	0	0	0	1	1	1	2	1	1	1	1	1	2	3	3	3	2	3	2	3
France	0	1	2	1	0	1	0	2	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Colombia	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Netherlands	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Argentina	0	0	1	1	2	2	1	1	2	3	4	4	3	2	1	1	0	1	1	1	2	1	1	1	0
China	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canada	0	0	0	2	2	2	2	2	1	1	1	1	2	2	1	1	1	0	0	0	0	0	0	1	1
New Zealand	0	0	0	1	1	1	1	2	1	3	4	1	1	1	2	2	3	3	2	1	1	1	1	0	0
Taiwan	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1
Finland	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraguay	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Trinidad and Tobago	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Philippines	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
Namibia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
