Player	Position	Weight & Height	Previous Club	Contracted Until
Michael Platt	Full Back	93 kg , 6 ft 2 in	Castleford Tigers	2011
Rikki Sheriffe	Right Wing	14 st , 6 ft	Harlequins RL	2010
Paul Sykes	Right Centre	92 kg , 5 ft 10 in	Harlequins RL	2010
Chris Nero	Left Centre	15 st , 6 ft 1 in	Huddersfield Giants	2010
Semi Tadulala	Left Wing	14 st , 6 ft	Wakefield Trinity Wildcats	2009
Ben Jeffries	Stand Off	14 st , 5 ft 9 in	Wakefield Trinity Wildcats	2009
Paul Deacon (c)	Scrum Half	80 kg , 5 ft 9 in	Oldham Roughyeds	2010
Sam Burgess	Prop	114 kg , 6 ft 4 in	Bradford Bulls	2009
Terry Newton	Hooker	98 kg , 5 ft 10 in	Wigan Warriors	2009
Andy Lynch	Prop	108 kg , 6 ft 2 in	Castleford Tigers	2012
Steve Menzies	Second Row	98 kg , 6 ft 3 in	Manly Sea Eagles	2011
Glenn Morrison	Second Row	97 kg , 6 ft	Parramatta Eels	2009
Jamie Langley	Loose Forward	108 kg , 6 ft 2 in	Bradford Bulls	2010
Wayne Godwin	Hooker	13 st , 5 ft 6 in	Hull	2011
Matt Cook	Second Row	95 kg , 6 ft	Bradford Bulls	2009
Michael Worrincy	Second Row	98 kg , 6 ft 1 in	Harlequins RL	2010
Nick Scruton	Prop	106 kg , 6 ft	Leeds Rhinos	2011
Craig Kopczak	Prop	98 kg , 6 ft 4 in	Bradford Bulls	2009
Dave Halley	Right Wing	78 kg , 5 ft 9 in	Bradford Bulls	2011
Matt James	Prop	100 kg , 6 ft 3 in	Bradford Bulls	2010
Jason Crookes	Right Centre	83 kg , 5 ft	Bradford Bulls	2011
Julien Rinaldi	Scrum Half / Hooker	13 st , 5 ft	Sunshine Sea Eagles	2009
Richard Johnson	Left Centre	87 kg 5 ft 11 in	Bradford Bulls	2010
Steve Crossley	Prop	104 kg , 6 ft 2 in	Bradford Bulls	2010
David Solomona	Second Row	108 kg , 6 ft	Wakefield Trinity Wildcats	2009
Kieran Hyde	Full Back	85 kg , 5 ft 11 in	Bradford Bulls	2011
Elliott Whitehead	Second Row	93 kg , 6 ft	Bradford Bulls	2010
Tom Olbison	Centre	96 kg , 6 ft 1 in	Bradford Bulls	2010
James Donaldson	Second Row	87 kg , 5 ft 10 in	Bradford Bulls	2010
Andy Tate	Right Centre	85 kg , 6 ft 3 in	Bradford Bulls	2011
Duane Straugheir	Right Centre	90 kg , 6 ft	Bradford Bulls	2009
