Date	Location	Nature of incident	Circumstances	Casualties
2010-01-28	Chahar Darreh District	Hostile	Direct fire	1 WIA
2010-02-17	Kunduz / Isa Khel	Hostile	Direct fire	3 WIA
2010-03-05	Kunduz	Hostile	Direct fire	1 WIA
2010-04-02	Kunduz	Hostile	Combat	3 KIA, 8 WIA
2010-04-15	Route to Baghlan	Hostile	IED Blast / Mortar Attack	4 KIA, 5 WIA
2010-05-20	Kunduz	Hostile	IED	1 WIA
2010-06-09	Kunduz	Hostile	IED	1 WIA
2010-06-13	Kunduz	Hostile	IED	2 WIA
2010-06-19	Feyzabad	Hostile	IED	3 WIA
2010-06-20	Kunduz	Hostile	IED / Direct fire	2 WIA
2010-07-10	Kunduz	Hostile	IED	2 WIA
2010-07-19	Kunduz	Hostile	IED	4 WIA
2010-07-31	Pol-e-Khomri	Hostile	Direct fire	1 WIA
2010-09-14	Kunduz	Hostile	IED	1 WIA
2010-10-07	Baghlan Province	Hostile	Suicide bomber attack	1 KIA, 14 WIA
2010-10-11	Baghlan Province	Accident	Traffic Accident	6 injured
2010-10-17	Kunduz	Hostile	Direct fire	1 WIA
2010-10-26	Kunduz	Hostile	IED	2 WIA
2010-10-31	Kunduz	Hostile	IED	2 WIA
2010-11-03	Kunduz	Hostile	Direct fire	1 WIA
2010-11-21	Kunduz	Hostile	IED	3 WIA
2010-12-06	Baghlan–i Jadid	Hostile	Direct fire	2 WIA
2010-12-15	Kandahar	Hostile	Direct fire	1 WIA
2010-12-17	Baghlan–i Jadid	Non-hostile	Accidental discharge	1 Killed
