Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Brabham Racing Organisation	Lotus - Climax	25	Climax FWMV 1.5 V8	D	Jack Brabham	1
Brabham Racing Organisation	Brabham - Climax	BT7 BT3	Climax FWMV 1.5 V8	D	Jack Brabham	2–10
Brabham Racing Organisation	Brabham - Climax	BT7 BT3	Climax FWMV 1.5 V8	D	Dan Gurney	All
Owen Racing Organisation	BRM	P57 P61	BRM P56 1.5 V8 BRM P60 1.5 V8	D	Richie Ginther	All
Owen Racing Organisation	BRM	P57 P61	BRM P56 1.5 V8 BRM P60 1.5 V8	D	Graham Hill	All
Cooper Car Company	Cooper - Climax	T66	Climax FWMV 1.5 V8	D	Bruce McLaren	All
Cooper Car Company	Cooper - Climax	T66	Climax FWMV 1.5 V8	D	Tony Maggs	All
Team Lotus	Lotus - Climax	25	Climax FWMV 1.5 V8	D	Jim Clark	All
Team Lotus	Lotus - Climax	25	Climax FWMV 1.5 V8	D	Trevor Taylor	1–6, 8–10
Team Lotus	Lotus - Climax	25	Climax FWMV 1.5 V8	D	Peter Arundell	4
Team Lotus	Lotus - Climax	25	Climax FWMV 1.5 V8	D	Mike Spence	7
Team Lotus	Lotus - Climax	25	Climax FWMV 1.5 V8	D	Pedro Rodríguez	8–9
R.R.C. Walker Racing Team	Cooper - Climax	T60	Climax FWMV 1.5 V8	D	Jo Bonnier	All
British Racing Partnership	Lotus - BRM	24	BRM P56 1.5 V8	D	Jim Hall	1–9
British Racing Partnership	Lotus - BRM	24	BRM P56 1.5 V8	D	Innes Ireland	1, 6
British Racing Partnership	BRP - BRM	Mk 1	BRM P56 1.5 V8	D	Innes Ireland	2–5, 7
Reg Parnell Racing R.H.H. Parnell	Lola - Climax	Mk4A	Climax FWMV 1.5 V8	D	Chris Amon	1–7
Reg Parnell Racing R.H.H. Parnell	Lola - Climax	Mk4A	Climax FWMV 1.5 V8	D	Maurice Trintignant	1
Reg Parnell Racing R.H.H. Parnell	Lola - Climax	Mk4A	Climax FWMV 1.5 V8	D	Lucien Bianchi	2
Reg Parnell Racing R.H.H. Parnell	Lola - Climax	Mk4A	Climax FWMV 1.5 V8	D	Mike Hailwood	7
Reg Parnell Racing R.H.H. Parnell	Lola - Climax	Mk4A	Climax FWMV 1.5 V8	D	Masten Gregory	8–9
Reg Parnell Racing R.H.H. Parnell	Lotus - Climax	24	Climax FWMV 1.5 V8	D	Maurice Trintignant	4
Reg Parnell Racing R.H.H. Parnell	Lotus - Climax	24	Climax FWMV 1.5 V8	D	Mike Hailwood	5
Reg Parnell Racing R.H.H. Parnell	Lotus - BRM	24	BRM P56 1.5 V8	D	Masten Gregory	5
Reg Parnell Racing R.H.H. Parnell	Lotus - BRM	24	BRM P56 1.5 V8	D	Rodger Ward	8
Reg Parnell Racing R.H.H. Parnell	Lotus - BRM	24	BRM P56 1.5 V8	D	Hap Sharp	8–9
Reg Parnell Racing R.H.H. Parnell	Lotus - BRM	24	BRM P56 1.5 V8	D	Chris Amon	9
Scuderia Ferrari SpA SEFAC	Ferrari	156	Ferrari 178 1.5 V6	D	Willy Mairesse	1–2, 6
Scuderia Ferrari SpA SEFAC	Ferrari	156	Ferrari 178 1.5 V6	D	John Surtees	All
Scuderia Ferrari SpA SEFAC	Ferrari	156	Ferrari 178 1.5 V6	D	Ludovico Scarfiotti	3–4
Scuderia Ferrari SpA SEFAC	Ferrari	156	Ferrari 178 1.5 V6	D	Lorenzo Bandini	7–10
Bernard Collomb	Lotus - Climax	24	Climax FWMV 1.5 V8	D	Bernard Collomb	1, 6
Siffert Racing Team	Lotus - BRM	24	BRM P56 1.5 V8	D	Jo Siffert	1–9
Scirocco Powell Racing Cars	Scirocco - BRM	SP	BRM P56 1.5 V8	D	Tony Settember	2, 4–7
Scirocco Powell Racing Cars	Scirocco - BRM	SP	BRM P56 1.5 V8	D	Ian Burgess	5–6
Automobili Turismo e Sport	ATS	100	ATS 100 1.5 V8	D	Phil Hill	2–3, 7–9
Automobili Turismo e Sport	ATS	100	ATS 100 1.5 V8	D	Giancarlo Baghetti	2–3, 7–9
Ecurie Maarsbergen	Porsche	718	Porsche 547/6 1.5 F4	D	Carel Godin de Beaufort	2–3, 5–10
Ecurie Maarsbergen	Porsche	718	Porsche 547/6 1.5 F4	D	Gerhard Mitter	3, 6
Ecurie Filipinetti	Lotus - BRM	24	BRM P56 1.5 V8	D	Phil Hill	4
Scuderia Centro Sud	BRM	P57	BRM P56 1.5 V8	D	Lorenzo Bandini	4–6
Scuderia Centro Sud	BRM	P57	BRM P56 1.5 V8	D	Maurice Trintignant	7
Scuderia Centro Sud	BRM	P57	BRM P56 1.5 V8	D	Moisés Solana	9
Scuderia Centro Sud	Cooper - Climax	T60	Climax FWMV 1.5 V8	D	Mário de Araújo Cabral	6–7
Scuderia Centro Sud	Cooper - Maserati	T53	Maserati 6-1500 1.5 L4	D	Ernesto Brambilla	7
Tim Parnell	Lotus - BRM	24	BRM P56 1.5 V8	D	Masten Gregory	4, 7
Tim Parnell	Lola - Climax	Mk4	Climax FWMV 1.5 V8	D	John Campbell-Jones	5
Tim Parnell	Lotus - Climax	18/21	Climax FWMV 1.5 V8	D	André Pilette	6
Tim Parnell	Lotus - Climax	18/21	Climax FWMV 1.5 V8	D	Tim Parnell	6
DW Racing Enterprises	Lola - Climax	Mk4	Climax FWMV 1.5 V8	D	Bob Anderson	5, 7
Ian Raby Racing	Gilby - BRM	62	BRM P56 1.5 V8	D	Ian Raby	5–7
Kurt Kuhnke	Lotus - Borgward	18	Borgward 1500 RS 1.5 L4	D	Kurt Kuhnke	6
Scuderia Settecolli	De Tomaso - Ferrari	F1	Ferrari 178 1.5 V6	D	Roberto Lippi	7
André Pilette	Lotus - Climax	18/21	Climax FPF 1.5 L4	D	André Pilette	7
Canadian Stebro Racing	Stebro - Ford	Mk IV	Ford 109E 1.5 L4	D	Peter Broeker	8
Frank Dochnal	Cooper - Climax	T51	Climax FPF 1.5 L4	D	Frank Dochnal	9
Lawson Organisation	Lotus - Climax	21	Climax FPF 1.5 L4	D	Ernie Pieterse	10
Selby Auto Spares	Lotus - BRM	24	BRM P56 1.5 V8	D	Paddy Driver	10
Otello Nucci	LDS - Alfa Romeo	Mk 1	Alfa Romeo Giulietta 1.5 L4	D	Doug Serrurier	10
Otello Nucci	Alfa Romeo	Special	Alfa Romeo Giulietta 1.5 L4	D	Peter de Klerk	10
John Love	Cooper - Climax	T55	Climax FPF 1.5 L4	D	John Love	10
Sam Tingle	LDS - Alfa Romeo	Mk 1	Alfa Romeo Giulietta 1.5 L4	D	Sam Tingle	10
Ted Lanfear	Lotus - Ford	22	Ford 109E 1.5 L4	D	Brausch Niemann	10
David Prophet	Brabham - Ford	BT6	Ford 109E 1.5 L4	D	David Prophet	10
Scuderia Lupini	Cooper - Maserati	T51	Maserati 6-1500 1.5 L4	D	Trevor Blokdyk	10
