Verb	2 (VF)	2 (F)	3 (F)	2/3 (P)
bôla	tui bolli	tumi bolle	she bollo	apni bollen
বলা	তুই বললি	তুমি বললে	সে বললো	আপনি বললেন
khola	tui khulli	tumi khulle	she khullo	apni khullen
খোলা	তুই খুললি	তুমি খুললে	সে খুললো	আপনি খুললেন
khêla	tui khelli	tumi khelle	she khello	apni khellen
খেলে	তুই খেললি	তুমি খেললে	সে খেললো	আপনি খেললেন
chena	tui chinli	tumi chinle	she chinlo	apni chinlen
চেনা	তুই চিনলি	তুমি চিনলে	সে চিনলো	আপনি চিনলেন
jana	tui janli	tumi janle	she janlo	apni janlen
জানা	তুই জানলি	তুমি জানলে	সে জানলে	আপনি জানলেন
hôoa	tui holi	tumi hole	she holo	apni holen
হওয়া	তুই হলি	তুমি হলে	সে হল	আপনি হলেন
dhoa	tui dhuli	tumi dhule	she dhulo	apni dhulen
ধোওয়া	তুই ধুলি	তুমি ধুলে	সে ধুলো	আপনি ধুলেন
khaoa	tui kheli	tumi khele	she khelo	apni khelen
খাওয়া	তুই খেলি	তুমি খেলে	সে খেলো	আপনি খেলেন
dêoa	tui dili	tumi dile	she dilo	apni dilen
দেওয়া	তুই দিলি	তুমি দিলে	সে দিলো	আপনি দিলেন
