Nat.	Name	Since	Goals	Ends	Transfer fee
DEN	Ankergren	2007	0	2010	Undisclosed
ENG	Richardson	2001	5	2009	Youth system
ENG	Huntington	2007	3	2010	Undisclosed
IRE	Douglas ( VC1 )	2006	9	2009	Undisclosed
ANG	Rui Marques ( VC3 )	2005	3	2010	Free
ENG	Prutton	2007	4	2009	Free
ENG	Thompson ( captain )	2007	5	2008	Free
ENG	Beckford	2006	20	2010	£50k
ENG	Constantine	2007	2	2009	Free
ENG	Westlake	2006	3	2009	£500k PX
SCO	Martin	2007	0	2009	Undisclosed
ENG	Howson	2006	6	2010	Youth system
ENG	Johnson	2008	2	2011	£250k
FRA	Carole	2006	3	2009	Free
IRE	Bayly	2006	0	2009	Youth system
COD	Kandol	2006	12	2011	£200k
ENG	Hughes ( VC2 )	2007	1	2009	Undisclosed
ENG	Weston	2007	1	2009	Free
SCO	Sweeney	2008	0	2010	£150k
ENG	Lucas	2007	0	2008	Free
ENG	Parker	2007	0	2009	Youth system
ENG LUX	Gardner	2007	0	2009	Youth system
ENG	Delph	2007	0	2011	Youth system
ENG	Elliott	2007	0	2011	Youth system
NGR ENG	Ameobi	2007	0	2008	Youth system
IRE	Sheehan	2008	1	2008	Loan
SVK	Michalík	2008	0	2011	£200k
ENG	Kenton	2008	0	2008	Free
FIN	Sorsa	2008	0	2010	Free
AUS ENG	Kilkenny	2008	1	2011	£150k
SCO	Freedman	2008	6	2008	Loan
ENG	Elding	2008	1	2010	£125k
