Player	Nationality	Position	Years in Orlando	School/Club Team
Matt Barnes	United States	Guard-Forward	2009-2010	UCLA
Andre Barrett	United States	Guard	2005	Seton Hall
Brandon Bass	United States	Forward	2009–2011	Louisiana State
Tony Battie	United States	Forward-Center	2004–2009	Texas Tech
David Benoit	United States	Forward	1998	Alabama
Keith Bogans	United States	Guard	2003–2004	Kentucky
Keith Bogans	United States	Guard	2006–2009	Kentucky
Anthony Bonner	United States	Forward	1995–1996	St. Louis
Anthony Bowie	United States	Guard	1991–1996	Oklahoma
Earl Boykins	United States	Guard	1999	Eastern Michigan
Michael Bradley	United States	Forward	2004–2005	Villanova
Dee Brown	United States	Guard	2000–2002	Jacksonville
Jud Buechler	United States	Guard-Forward	2001–2002	Arizona
Pat Burke	Ireland	Center	2002–2003	Auburn
