Episode No. Episode No. refers to the episodes number in the overall series, whereas Series No. refers to the episodes number in this particular series.	Series No.	Episode	Director	Writer	Original airdate
66	1	"Humpty Dumpty"	Jim Hill	Ginnie Hole	6September1991
67	2	"Judgement Day"	Margy Kinmonth	Barbara Machin	13September1991
68	3	"Dangerous Games"	Charles McDougall	Robin Mukherjee	20September1991
69	4	"Hide and Seek"	Jim Hill	David Richard-Fox	27September1991
70	5	"Joy Ride"	Steve Goldie	Bill Gallagher	4October1991
71	6	"Something to Hide"	Steve Goldie	Stephen Wyatt	11October1991
72	7	"Beggars Can't Be Choosers"	Alan Wareing	Ginnie Hole	18October1991
73	8	"Living in Hope"	Margy Kinmonth	Robin Mukherjee	25October1991
74	9	"Making the Break"	Jim Hill	Jacqueline Holborough	1November1991
75	10	"Sins of Omission"	Alan Wareing	Bryan Elsley	8November1991
76	11	"The Last Word"	Michael Owen Morris	Barbara Machin	15November1991
77	12	"Pressure! What Pressure?"	Michael Brayshaw	Arthur McKenzie	29November1991
78	13	"Facing Up"	Bill Pryde	Bill Gallagher	6December1991
79	14	"Allegiance"	Alan Wareing	David Richard-Fox	15December1991
