Conventional	Sarikoli (in IPA )	Uyghur ( K̢ona Yezik̢ )	Uyghur ( Yenɡi Yezik̢ )	Chinese	Pinyin
Tashkurgan Town	tɔʃqyrʁɔn	تاشقۇرغان	Taxk̡urƣan	塔什库尔干	Tǎshìkù'ěrgàn
Tagarma	taʁarmi	تاغارما	Taƣarma	塔合曼鄉	Tǎhémàn
Tiznap	tiznef	تىزناپ	Tiznap	提孜那甫	Tízīnàfǔ
Dafdar	ðavðɔr	دەفتەر	Defter	达佈达尔	Dábùdá'ĕr
Weqa	watʃa	ۋەچە	Weqe	瓦恰	Wǎqià
Baldir	baldir	بەلدىر	baldir	班迪尔	Bāndí'ĕr
Maryang	marjɔŋ	مارياڭ	Maryang	马尔洋	Mǎ'ĕryáng
Burumsal	bryŋsol	بۇرۇمسال	Burumsal	布倫木沙鄉	Bùlúnmùshā
Datong	tyŋ	داتۇڭ	Datung	大同鄉	Dàtóng
Koguxluk	quʁuʃluʁ	قوغۇشلۇق	K̡oƣuxluk̡	库克西力克	Kùkèxīlìkè
Kokyar	kɔkjar	كۆكيار قىرغىز يېزىسى	Kɵkyar K̡irƣiz yezisi	科克亚尔柯尔克孜族乡	Kēkèyà'ěr Kē'ěrkèzīzú xiāng
Mazar	mazur mutʃaŋ	مازار	Mazar	麻扎	Mázhā
