Represents	Contestant	Age	Height (cm)	Height (ft)	Hometown
Azua	Aneliz Henríquez Soto	24	1.71	5'7"	Santo Domingo
Bonao	Lorraine Súarez Carmona	21	1.75	5'9"	Bonao
Comunidad Dominicana En EEUU	Ashley Pérez Cabrera	19	1.70	5'6"	Miami
Distrito Nacional	Elizabeth Quiñónez Aroyo	20	1.71	5'7"	Santo Domingo
Haina	Eve Tatiana Cruz Oviedo	19	1.72	5'7"	Santo Domingo
Imbert	Nadia Caba Rodríguez	22	1.79	5'10"	Santo Domingo
Jarabacoa	Clary Sermina Delgado Cid	21	1.75	5'9"	Santiago de los Caballeros
La Altagracia	Marina Castro Medina	20	1.76	5'9"	Santo Domingo
La Romana	Rosa Clarissa Ortíz Melo	23	1.81	5'11"	La Romana
La Vega	Endis de los Santos Álvarez	24	1.72	5'7"	Los Alcarrizos
Monte Plata	Emeniris Tatís Guerra	25	1.72	5'7"	Santo Domingo
Neiba	Walesca Torres Xavier	21	1.73	5'8"	Santo Domingo
Puerto Plata	Joneydis Peña Vargas	22	1.83	6'0"	Puerto Plata
Salcedo	Amanda Ureña Zaragoza	26	1.70	5'6"	Salcedo
San Cristóbal	Carmen Rosa Torres Lebrón	18	1.72	5'7"	San Cristóbal
San Francisco de Macorís	Mariel García Estevez	20	1.78	5'10"	Santo Domingo
San Juan de la Maguana	Carolina Polanco Ojeda	24	1.75	5'9"	Santo Domingo
Santiago	Anna Hernández Taveras	18	1.73	5'8"	Santiago de los Caballeros
Santo Domingo Norte	Edilia Veras Inoa	19	1.69	5'6"	Santiago de los Caballeros
