Rank	Population	Name	Former Name	Municipality
1	16,454	Nuuk	Godthåb Godthaab Neu-Herrnhut	Sermersooq
2	5,598	Sisimiut	Holsteinsborg	Qeqqata
3	4,541	Ilulissat	Jakobshavn	Qaasuitsup
4	3,229	Qaqortoq	Julianehåb Julianehaab	Kujalleq
5	3,142	Aasiaat	Egedesminde	Qaasuitsup
6	2,670	Maniitsoq	Nye-Sukkertoppen Sukkertoppen	Qeqqata
7	2,017	Tasiilaq	Ammassalik Angmagssalik	Sermersooq
8	1,515	Paamiut	Frederikshåb Frederikshaab	Sermersooq
9	1,503	Narsaq	Nordprøven	Kujalleq
10	1,337	Nanortalik	Nennortalik	Kujalleq
11	1,282	Uummannaq	Omenak	Qaasuitsup
12	1,181	Upernavik	—	Qaasuitsup
13	1,171	Qasigiannguit	Christianshåb Christianshaab	Qaasuitsup
