Tournament	Surface	Week	Winner and score	Finalist	Semifinalists
Indian Wells	Hard	March 11	Michael Chang 7–5, 6–1, 6–1	Paul Haarhuis	Goran Ivanišević Marcelo Ríos
Key Biscane	Hard	March 18	Andre Agassi 3–0 Ret.	Goran Ivanišević	Arnaud Boetsch Pete Sampras
Monte Carlo	Clay	April 22	Thomas Muster 6–3, 5–7, 4–6, 6–3, 6–2	Albert Costa	Cédric Pioline Marcelo Ríos
Hamburg	Clay	May 6	Roberto Carretero 2–6, 6–4, 6–4, 6–4	Àlex Corretja	Yevgeny Kafelnikov Marcelo Ríos
Rome	Clay	May 13	Thomas Muster 6–2, 6–4, 3–6, 6–3	Richard Krajicek	Albert Costa Wayne Ferreira
Cincinnati	Hard	August 5	Andre Agassi 7–6(4), 6–4	Michael Chang	Thomas Enqvist Thomas Muster
Toronto	Hard	August 19	Wayne Ferreira 6–2, 6–4	Todd Woodbridge	Marcelo Ríos Todd Martin
Stuttgart	Carpet (i)	October 21	Boris Becker 3–6, 6–3, 3–6, 6–3, 6–4	Pete Sampras	Jan Siemerink Michael Chang
Paris	Carpet (i)	October 28	Thomas Enqvist 6–2, 6–4, 7–5	Yevgeny Kafelnikov	Magnus Gustafsson Petr Korda
Hanover ( AWC )	Carpet (i)	November 18	Pete Sampras 3–6, 7–6(5), 7–6(4), 6–7(11), 6–4	Boris Becker	Richard Krajicek Goran Ivanišević
