Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	14-7 (1)	Jordan Mein	TKO (punches)	UFC 158	1	4:42	Montreal, Quebec , Canada
Win	14-6 (1)	Ricardo Funch	Submission (guillotine choke)	UFC on FX: Maynard vs. Guida	3	3:12	Atlantic City, New Jersey , United States
Loss	13-6 (1)	Rousimar Palhares	Decision (unanimous)	UFC 134	3	5:00	Rio de Janeiro , Brazil
Loss	13-5 (1)	Nate Marquardt	Decision (unanimous)	UFC 128	3	5:00	Newark, New Jersey , United States
Win	13-4 (1)	Joe Doerksen	Decision (split)	UFC 124	3	5:00	Montreal, Quebec , Canada
Win	12-4 (1)	John Salter	Submission (ninja choke)	UFC 118	2	1:53	Boston, Massachusetts , United States
Loss	11-4 (1)	Michael Bisping	Decision (unanimous)	UFC 114	3	5:00	Las Vegas, Nevada , United States
Loss	11-3 (1)	Demian Maia	Decision (unanimous)	UFC 109	3	5:00	Las Vegas, Nevada , United States
Loss	11-2 (1)	Chael Sonnen	Decision (unanimous)	UFC 98	3	5:00	Las Vegas, Nevada , United States
Win	11-1 (1)	Jake Rosholt	Submission (guillotine choke)	UFC Fight Night: Lauzon vs. Stephens	1	1:03	Tampa, Florida , United States
Win	10-1 (1)	Matt Horwich	Decision (unanimous)	UFC 90	3	5:00	Rosemont, Illinois , United States
Win	9-1 (1)	Rob Kimmons	Submission (rear naked choke)	UFC Fight Night: Diaz vs. Neer	1	1:27	Omaha, Nebraska , United States
Win	8-1 (1)	Ryan McGivern	Submission (kneebar)	IFL: Connecticut	1	3:36	Uncasville, Connecticut , United States
NC	7-1 (1)	Mike Geurin	No Contest (headbutt)	Ring of Combat 18	1	0:34	Atlantic City, New Jersey , United States
Win	7-1	John Howard	Decision (unanimous)	Ring of Combat 17: Beast of the Northeast Finals	3	5:00	Atlantic City, New Jersey , United States
Win	6-1	Dave Phillips	Submission (standing guillotine choke)	IFL: 2007 Semifinals	1	1:30	East Rutherford, New Jersey , United States
Win	5-1	Jose Rodriguez	Decision (unanimous)	Cage Fury Fighting Championships 4	3	5:00	Atlantic City, New Jersey , United States
Win	4-1	Lance Everson	Submission (rear naked choke)	Cage Fury Fighting Championships 2	1	2:26	Atlantic City, New Jersey , United States
Win	3-1	Dave Perez	TKO (corner stoppage)	Cage Fury Fighting Championships 1	1	5:00	Atlantic City, New Jersey , United States
Loss	2-1	Mike Massenzio	Decision (split)	Reality Fighting 12: Return to Boardwalk Hall	3	5:00	Atlantic City, New Jersey , United States
Win	2-0	Jay Coleman	Submission (armbar)	Reality Fighting 11: Battle at Taj Mahal	1	N/A	Atlantic City, New Jersey , United States
Win	1-0	Tenyeh Dixon	Submission (triangle choke)	Reality Fighting 10	1	2:20	Atlantic City, New Jersey , United States
