Place	Player	Country	Score	To par
T1	Mark Calcavecchia	United States	66	–4
T1	Greg Norman	Australia	66	–4
T1	Peter Senior	Australia	66	–4
T1	Fuzzy Zoeller	United States	66	–4
T5	Stephen Ames	Trinidad and Tobago	67	–3
T5	Howard Clark	England	67	–3
T5	Glen Day	United States	67	–3
T5	Gary Evans	England	67	–3
T5	Bernhard Langer	Germany	67	–3
T5	Mark McNulty	Zimbabwe	67	–3
T5	Larry Mize	United States	67	–3
T5	Des Smyth	Ireland	67	–3
T5	Greg Turner	New Zealand	67	–3
T5	Wayne Westner	South Africa	67	–3
