Model	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
SEAT Marbella	2,337	—	—	—	—	—	—	—	—	—	—	—	—	—
SEAT Arosa	38,338	46,410	28,403	22,980	19,627	13,814	9,368	—	—	—	—	—	—	—
SEAT Mii	—	—	—	—	—	—	—	—	—	—	—	—	—	990
SEAT Ibiza / SEAT Ibiza SC / SEAT Ibiza ST	180,775	194,245	199,279	188,427	197,311	220,497	183,754	168,645	183,848	172,206	192,470	173,715	189,083	191,183
SEAT Inca	17,226	19,221	16,328	15,207	11,802	7,982	—	—	—	—	—	—	—	—
SEAT Inca Kombi	7,708	8,573	5,534	5,316	3,879	2,150	—	—	—	—	—	—	—	—
SEAT Córdoba / SEAT Córdoba Vario	108,749	111,894	97,685	78,770	58,646	59,348	46,821	37,568	31,058	29,747	20,439	4,861	—	—
SEAT León	—	6,080	93,123	91,939	93,606	96,536	90,850	98,130	126,511	120,630	96,761	66,368	79,462	80,736
SEAT Altea / SEAT Altea XL / SEAT Altea Freetrack	—	—	—	—	—	—	67,125	65,174	58,288	71,377	54,770	32,791	43,351	42,329
SEAT Toledo	42,325	105,818	59,480	47,645	39,503	36,026	38,962	20,600	8,613	4,744	5,484	571	—	—
SEAT Exeo / SEAT Exeo ST	—	—	—	—	—	—	—	—	—	—	369	22,981	23,108	19,559
SEAT Alhambra	21,300	27,440	23,924	26,524	26,308	23,693	21,580	14,902	14,352	14,242	10,282	6,215	10,023	18,139
Total annual production annual	418,758	519,681	523,756	476,808	450,682	460,046	458,460	405,019	422,670	412,946	380,575	307,502	349,000	353,936
