Place	Player	Country	Score	To par
1	Tiger Woods	United States	70-66=136	−8
2	Colin Montgomerie	Scotland	72-67=139	−5
3	Costantino Rocca	Italy	71-69=140	−4
T4	Fred Couples	United States	72-69=141	−3
T4	José María Olazábal	Spain	71-70=141	−3
T4	Jeff Sluman	United States	74-67=141	−3
T7	Paul Azinger	United States	69-73=142	−2
T7	Nick Price	Zimbabwe	71-71=142	−2
T7	Paul Stankowski	United States	68-74=142	−2
T10	Ernie Els	South Africa	73-70=143	−1
T10	Davis Love III	United States	72-71=143	−1
T10	Tom Watson	United States	75-68=143	−1
