Date	Visitor	Score	Home	Leading scorer	Attendance	Record
2 November 2007	Mavericks	94–101	Hawks	Dirk Nowitzki (28)	19,767	1–1
3 November 2007	Kings	102–123	Mavericks	Josh Howard (27)	20,343	2–1
5 November 2007	Rockets	98–107	Mavericks	Jason Terry (31)	20,389	3–1
8 November 2007	Mavericks	120–115	Warriors	Two-way tie (24)	19,596	4–1
10 November 2007	Mavericks	82–91	Trailblazers	Josh Howard (20)	19,255	4–2
13 November 2007	76ers	99–84	Mavericks	Jason Terry (25)	19,875	5–2
15 November 2007	Spurs	105–92	Mavericks	Josh Howard (23)	20,468	6–2
17 November 2007	Grizzlies	108–105	Mavericks	Josh Howard (27)	20,385	7–2
20 November 2007	Raptors	105–99	Mavericks	Dirk Nowitzki (32)	20,272	8–2
21 November 2007	Mavericks	100–94	Rockets	Devin Harris (22)	18,143	9–2
23 November 2007	Mavericks	107–111	Pacers	Devin Harris (24)	14,002	9–3
24 November 2007	Mavericks	95–97	Bucks	Josh Howard (24)	16,376	9–4
26 November 2007	Wizards	110–98	Mavericks	Dirk Nowitzki (31)	19,556	9–5
28 November 2007	Timberwolves	103–109	Mavericks	Dirk Nowitzki (27)	20,054	10-5
30 November 2007	Trailblazers	80–91	Mavericks	Josh Howard (23)	20,301	11–5
