Name	Team	Qual 1	Qual 2	Best
Paul Tracy	Forsythe Racing	58.361	57.546	57.546
Justin Wilson	Mi-Jack Conquest Racing	58.842	57.954	57.954
Sébastien Bourdais	Newman/Haas Racing	58.731	58.034	58.034
A. J. Allmendinger	RuSPORT	58.745	58.142	58.142
Alex Tagliani	Rocketsports Racing	58.948	58.156	58.156
Bruno Junqueira	Newman/Haas Racing	58.500	58.226	58.226
Patrick Carpentier	Forsythe Racing	58.991	58.353	58.353
Michel Jourdain, Jr.	RuSPORT	59.448	58.442	58.442
Ryan Hunter-Reay	Herdez Competition	58.529	58.909	58.529
Jimmy Vasser	PKV Racing	58.782	58.539	58.539
Mario Domínguez	Herdez Competition	59.258	58.771	58.771
Mario Haberfeld	Walker Racing	59.348	58.779	58.779
Oriol Servià	Dale Coyne Racing	1:00.081	59.140	59.140
Roberto González	PKV Racing	1:00.419	59.263	59.263
Rodolfo Lavín	Forsythe Racing	59.384	59.360	59.360
Nelson Philippe	Rocketsports Racing	1:00.282	59.585	59.585
Alex Sperafico	Mi-Jack Conquest Racing	1:00.428	1:00.186	1:00.186
Gastón Mazzacane	Dale Coyne Racing	1:00.465	1:00.217	1:00.217
