Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Real Santander	30	42	17	8	5	63	28	+35
2	RC Celta de Vigo	30	40	18	4	8	63	37	+26
3	CD Orense	30	37	15	7	8	56	41	+15
4	Deportivo La Coruña	30	35	16	3	11	56	47	+9
5	Real Gijón	30	32	14	4	12	56	44	+12
6	CD Tarrasa	30	31	12	7	11	47	44	+3
7	CD Sabadell CF	30	31	13	5	12	52	41	+11
8	SD Indautxu	30	29	13	3	14	56	54	+2
9	Baracaldo AH	30	29	11	7	12	53	51	+2
10	CD Condal	30	29	11	7	12	46	45	+1
11	CD Basconia	30	27	11	5	14	41	57	-16
12	Cultural Leonesa	30	27	10	7	13	47	61	-14
13	Deportivo Alavés	30	24	8	8	14	44	70	-26
14	Club Sestao	30	24	9	6	15	30	47	-17
15	Real Avilés CF	30	22	6	10	14	38	52	-14
16	Club Ferrol	30	21	9	3	18	50	79	-29
