Size	Lg. Dia.	Sm. Dia.	Length	Taper (in/ft)
1	0.2392	0.2000	0.94	0.5020
2	0.2997	0.2500	1.19	0.5020
3	0.3753	0.3125	1.50	0.5020
4	0.4207	0.3500	1.69	0.5024
5	0.5388	0.4500	2.13	0.5016
6	0.5996	0.5000	2.38	0.5033
7	0.7201	0.6000	2.88	0.5010
8	0.8987	0.7500	3.56	0.5010
9	1.0775	0.9001	4.25	0.5009
10	1.2597	1.0447	5.00	0.5161
11	1.4978	1.2500	5.94	0.5010
12	1.7968	1.5001	7.13	0.4997
13	2.0731	1.7501	7.75	0.5002
14	2.3438	2.0000	8.25	0.5000
15	2.6146	2.2500	8.75	0.5000
16	2.8854	2.5000	9.25	0.5000
17	3.1563	2.7500	9.75	0.5000
18	3.4271	3.0000	10.25	0.5000
