Date	Venue	Score	Result	Competition
13 March 1880	Hampden Park , Glasgow	1-0	5-4	Friendly
13 March 1880	Hampden Park , Glasgow	3-2	5-4	Friendly
13 March 1880	Hampden Park , Glasgow	4-2	5-4	Friendly
12 March 1881	Kennington Oval , London	4-1	6-1	Friendly
12 March 1881	Kennington Oval , London	6-1	6-1	Friendly
14 March 1881	Acton Park , Wrexham	1-1	5-1	Friendly
14 March 1881	Acton Park , Wrexham	4-1	5-1	Friendly
11 March 1882	Hampden Park , Glasgow	2-1	5-1	Friendly
11 March 1882	Hampden Park , Glasgow	5-1	5-1	Friendly
25 March 1882	Hampden Park , Glasgow	2-0	5-0	Friendly
