Place	Player	Country	Score	To par
1	Tiger Woods	United States	67–70–71=208	−8
T2	Pádraig Harrington	Ireland	68–73–69=210	−6
T2	Yang Yong-eun	South Korea	73–70–67=210	−6
T4	Lucas Glover	United States	71–70–71=212	−4
T4	Henrik Stenson	Sweden	73–71–68=212	−4
T6	Ernie Els	South Africa	75–68–70=213	−3
T6	Søren Kjeldsen	Denmark	70–73–70=213	−3
T8	Ross Fisher	England	73–68–73=214	−2
T8	Brendan Jones	Australia	71–70–73=214	−2
T8	Martin Kaymer	Germany	73–70–71=214	−2
T8	Álvaro Quirós	Spain	69–76–69=214	−2
T8	John Rollins	United States	73–73–68=214	−2
