Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 17	MONY Senior Tournament of Champions	California	100,000	Dave Hill (2)	211 (-5)	30,000
Feb 14	General Foods PGA Seniors' Championship	Florida	350,000	Gary Player (8)	284 (-4)	63,000
Feb 21	GTE Suncoast Classic	Florida	300,000	Dale Douglass (5)	210 (-6)	45,000
Feb 28	Aetna Challenge	Florida	300,000	Gary Player (9)	207 (-9)	45,000
Mar 6	Vintage Chrysler Invitational	California	320,000	Orville Moody (5)	263 (-25)	48,000
Mar 13	GTE Classic	California	275,000	Harold Henning (2)	214 (-2)	41,250
Mar 20	The Pointe/Del E. Webb Arizona Classic	Arizona	225,000	Al Geiberger (4)	199 (-17)	33,750
Apr 17	Doug Sanders Kingwood Celebrity Classic	Texas	250,000	Chi Chi Rodriguez (11)	208 (-8)	37,500
May 8	Vantage at The Dominion	Texas	250,000	Billy Casper (7)	205 (-11)	37,500
May 15	United Hospitals Classic	Pennsylvania	225,000	Bruce Crampton (12)	205 (-5)	33,750
May 22	NYNEX/Golf Digest Commemorative	New York	300,000	Bob Charles (4)	196 (-14)	45,000
May 29	Sunwest Bank Charley Pride Senior Golf Classic	New Mexico	250,000	Bob Charles (5)	206 (-10)	41,250
Jun 5	Senior Players Reunion Pro-Am	Texas	250,000	Orville Moody (6)	206 (-10)	37,500
Jun 12	Mazda Senior Tournament Players Championship	Florida	400,000	Billy Casper (8)	278 (-10)	60,000
Jun 19	Northville Long Island Classic	New York	350,000	Don Bies (1)	202 (-14)	52,500
Jun 26	Southwestern Bell Classic	Oklahoma	250,000	Gary Player (10)	203 (-13)	37,500
Jul 4	Rancho Murieta Senior Gold Rush	California	350,000	Bob Charles (6)	207 (-9)	52,500
Jul 10	GTE Northwest Classic	Washington	300,000	Bruce Crampton (13)	207 (-9)	45,000
Jul 17	Showdown Classic	Utah	350,000	Miller Barber (21)	207 (-9)	52,500
Jul 23	Newport Cup	Rhode Island	250,000	Walt Zembriski (1)	132 (-12)	37,500
Jul 31	Digital Seniors Classic	Massachusetts	300,000	Chi Chi Rodriguez (12)	202 (-14)	45,000
Aug 8	U.S. Senior Open	Illinois	325,000	Gary Player (11)	288 (E)	65,000
Aug 14	MONY Syracuse Senior Classic	New York	250,000	Dave Hill (3)	200 (-16)	37,500
Aug 21	Greater Grand Rapids Open	Michigan	250,000	Orville Moody (7)	203 (-10)	37,500
Aug 28	Vantage presents Bank One Senior Golf Classic	Kentucky	250,000	Bob Charles (7)	200 (-10)	37,500
Sep 10	GTE North Classic	Indiana	350,000	Gary Player (12)	201 (-15)	52,500
Sep 18	Crestar Classic	Virginia	325,000	Arnold Palmer (10)	203 (-13)	48,750
Sep 25	PaineWebber Invitational	North Carolina	300,000	Dave Hill (4)	206 (-10)	45,000
Oct 2	Pepsi Senior Challenge	Georgia	300,000	Bob Charles (8)	139 (-5)	45,000
Oct 9	Vantage Championship	North Carolina	1,000,000	Walt Zembriski (2)	278 (-10)	135,000
Oct 30	General Tire Las Vegas Classic	Nevada	250,000	Larry Mowry (3)	204 (-12)	37,500
Nov 13	Fairfield Barnett Classic	Florida	225,000	Miller Barber (22)	197 (-19)	33,750
Nov 20	Gus Machado Senior Classic	Florida	300,000	Lee Elder (8)	202 (-11)	45,000
Dec 4	GTE Kaanapali Classic	Hawaii	300,000	Don Bies (2)	204 (-12)	45,000
