Round	Overall	Player	Position	School/Club Team
2	40	Billy Corbett	Offensive Tackle	Johnson C. Smith
5	118	Mark Ilgenfritz	Defensive End	Vanderbilt
6	146	Billy Pritchett	Running Back	West Texas A&M
7	163	Bob Herrick	Wide Receiver	Purdue
7	171	Gerry Sullivan	Offensive Tackle	Illinois
8	199	Eddie Brown	Defensive Back	Tennessee
9	224	Dan Scott	Guard	Ohio State
10	238	Mike Puestow	Wide Receiver	North Dakota State
11	274	Tom Gooden	Kicker	Harding
12	302	Ron McNeil	Defensive End	North Carolina Central
13	327	Mike Siefert	Defensive End	Wisconsin
14	352	Bob Hunt	Running Back	Heidelberg
15	380	Ransom Terrell	Linebacker	Arizona
16	407	Preston Anderson	Defensive Back	Rice
17	430	Carlton Buchanan	Defensive Tackle	SW Oklahoma
