Name	Species/Authority	Order	Family	Red List
Velvety Free-tailed Bat	Molossus molossus (Pallas, 1766)	Chiroptera	Molossidae	7
Mexican Free-tailed Bat	Tadarida brasiliensis (I. Geoffroy, 1824)	Chiroptera	Molossidae	6
Wagner's Bonneted Bat	Eumops glaucinus (Wagner, 1843)	Chiroptera	Molossidae	7
Jamaican Fruit Bat	Artibeus jamaicensis Leach, 1821	Chiroptera	Phyllostomidae	7
Big Brown Bat	Eptesicus fuscus (Beauvois, 1796)	Chiroptera	Vespertilionidae	7
Eastern Pipistrelle	Pipistrellus subflavus (F. Cuvier, 1832)	Chiroptera	Vespertilionidae	7
Eastern Red Bat	Lasiurus borealis (Müller, 1776)	Chiroptera	Vespertilionidae	7
Evening Bat	Nycticeius humeralis (Rafinesque, 1818)	Chiroptera	Vespertilionidae	7
Gray Bat	Myotis grisescens A.H. Howell, 1909	Chiroptera	Vespertilionidae	4
Hoary Bat	Lasiurus cinereus (Beauvois, 1796)	Chiroptera	Vespertilionidae	7
Indiana Bat	Myotis sodalis Miller & Allen, 1928	Chiroptera	Vespertilionidae	4
Little Brown Bat	Myotis lucifugus (La Conte, 1831)	Chiroptera	Vespertilionidae	7
Northern Long-eared Myotis	Myotis septentrionalis (Trouessart, 1897)	Chiroptera	Vespertilionidae	7
Northern Yellow Bat	Lasiurus intermedius H. Allen, 1862	Chiroptera	Vespertilionidae	7
Rafinesque's Big-Eared Bat	Plecotus rafinesquii Lesson, 1827	Chiroptera	Vespertilionidae	5
Seminole Bat ]	Lasiurus seminolus (Rhoads, 1895)	Chiroptera	Vespertilionidae	7
Silver-haired Bat	Lasionycteris noctivagans (La Conte, 1831)	Chiroptera	Vespertilionidae	7
Southeastern Myotis	Myotis austroriparius (Rhoads, 1897)	Chiroptera	Vespertilionidae	7
