City district (Stadtteil)	Area in km²	Population	Foreign nationals	Foreign nationals in %
Altstadt	0,51 km²	3.475	1.122	32,3%
Innenstadt	1,52 km²	6.577	2.529	38,5%
Bahnhofsviertel	0,53 km²	2.125	810	38,1%
Westend-Süd	2,47 km²	17.288	3.445	19,9%
Westend-Nord	1,67 km²	8.854	2.184	24,7%
Nordend-West	3,07 km²	28.808	5.162	17,9%
Nordend-Ost	1,69 km²	26.619	5.580	21,0%
Ostend	5,40 km²	26.955	7.213	26,8%
Bornheim	2,66 km²	27.184	6.240	23,0%
Gutleutviertel	2,20 km²	5.843	1.953	33,4%
Gallus	4,22 km²	26.716	11.012	41,2%
Bockenheim	8,04 km²	34.740	9.034	26,0%
Sachsenhausen-Nord	4,24 km²	30.374	6.507	21,4%
Sachsenhausen-Süd	34,91 km²	26.114	4.847	18,6%
Flughafen	20,00 km²	211	14	6,6%
Oberrad	2,74 km²	12.828	3.113	24,3%
Niederrad	2,93 km²	22.954	6.569	28,6%
Schwanheim	17,73 km²	20.162	3.532	17,5%
Griesheim	4,90 km²	22.648	8.029	35,5%
Rödelheim	5,15 km²	17.841	4.863	27,3%
Hausen	1,26 km²	7.178	2.135	29,7%
Praunheim	4,55 km²	15.761	3.197	20,3%
Heddernheim	2,49 km²	16.443	3.194	19,4%
Niederursel	7,22 km²	16.394	3.671	22,4%
Ginnheim	2,73 km²	16.444	4.024	24,5%
Dornbusch	2,38 km²	18.511	3.482	18,8%
Eschersheim	3,34 km²	14.808	2.657	17,9%
Eckenheim	2,23 km²	14.277	3.674	25,7%
Preungesheim	3,74 km²	13.568	3.442	25,4%
Bonames	1,24 km²	6.362	1.288	20,2%
Berkersheim	3,18 km²	3.400	592	17,4%
Riederwald	1,04 km²	4.911	1.142	23,3%
Seckbach	8,04 km²	10.194	1.969	19,3%
Fechenheim	7,18 km²	16.061	5.635	35,1%
Höchst	4,73 km²	13.888	5.279	38,0%
Nied	3,82 km²	17.829	5.224	29,3%
Sindlingen	3,98 km²	9.032	2.076	23,0%
Zeilsheim	5,47 km²	11.984	2.555	21,3%
Unterliederbach	5,85 km²	14.350	3.511	24,5%
Sossenheim	5,97 km²	15.853	4.235	26,7%
Nieder-Erlenbach	8,34 km²	4.629	496	10,7%
Kalbach-Riedberg	6,90 km²	8.482	1.279	15,1%
Harheim	5,02 km²	4.294	446	10,4%
Nieder-Eschbach	6,35 km²	11.499	1.978	17,2%
Bergen-Enkheim	12,54 km²	17.954	2.764	15,4%
Frankfurter Berg	2,16 km²	7.149	1.715	24,0%
Frankfurt am Main	248,33 km²	679.571	165.418	24,3%
