Rank	Title	Studio	Director	Worldwide Gross
1.	Independence Day	20th Century Fox	Roland Emmerich	$817,400,891
2.	Twister	Warner Bros. / Universal Studios	Jan de Bont	$494,471,524
3.	Mission: Impossible	Paramount Pictures	Brian De Palma	$457,696,359
4.	The Rock	Hollywood Pictures	Michael Bay	$335,062,621
5.	The Hunchback of Notre Dame	Walt Disney Pictures	Kirk Wise , Gary Trousdale	$325,338,851
6.	101 Dalmatians	Walt Disney Pictures / Great Oaks	Stephen Herek	$320,689,294
7.	Ransom	Touchstone Pictures / Image Entertainment	Ron Howard	$309,492,681
8.	The Nutty Professor	Universal Pictures	Tom Shadyac	$273,961,019
9.	Jerry Maguire	TriStar Pictures	Cameron Crowe	$273,552,592
10.	Eraser	Warner Bros.	Chuck Russell	$242,295,562
11.	The English Patient	Miramax Films	Anthony Minghella	$231,976,425
12.	Space Jam	Warner Bros.	Joe Pytka	$230,418,342
13.	The Birdcage	United Artists	Mike Nichols	$185,260,553
14.	The First Wives Club	Paramount Pictures	Hugh Wilson	$181,490,000
15.	Scream	Dimension Films	Wes Craven	$173,046,663
16.	Sleepers	Warner Bros.	Barry Levinson	$165,615,285
17.	Daylight	Universal Pictures	Rob Cohen	$159,212,469
18.	A Time to Kill	Warner Bros.	Joel Schumacher	$152,266,007
19.	Phenomenon	Buena Vista	Jon Turteltaub	$152,036,382
20.	Broken Arrow	20th Century Fox	John Woo	$150,270,147
