Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1974	Hermann Fröhlich	Monika Cassens	Gregor Berden Stane Koprivsek	Monika Cassens Christine Zierath	Joachim Schimpke Monika Cassens
1976	Erfried Michalowsky	Monika Cassens	Erfried Michalowsky Roland Riese	Monika Cassens Angela Michalowski	Edgar Michalowski Monika Cassens
1978	Rolf Heyer	Monika Cassens	Rolf Heyer Olaf Rosenow	Monika Cassens Angela Michalowski	Edgar Michalowski Monika Cassens
1979	Nick Yates	Paula Kilvington	Nick Yates Duncan Bridge	Monika Cassens Angela Michalowski	Herman Leidelmeijer Hanke de Kort
1980	Michal Malý	Helen Troke	Dipak Tailor Duncan Bridge	Monika Cassens Ilona Michalowsky	Edgar Michalowski Monika Cassens
1981	Dipak Tailor	Gillian Gowers	Dipak Tailor Chris Dobson	Catharina Troke Gillian Gowers	Dipak Tailor Gillian Gowers
1982	Michal Malý	Monika Cassens	Joe Ford Glen Milton	Jill Pringle Fiona Elliot	Edgar Michalowski Monika Cassens
1983	Johan Ratheyser	Heidemarie Krickhaus	Edgar Michalowski Erfried Michalowsky	Monika Cassens Petra Michalowsky	Erfried Michalowsky Petra Michalowsky
1984	Thomas Künstler	Monika Cassens	Peter Skole Ch. Norberg	Erica van Dijck Monique Hoogland	Bas von Barnau-Sijthoff Erica van Dijck
1985	Peter Skole	Elena Rybkina	Klaus Fischer Heinz Fischer	Elena Rybkina Ludmila Galyamova	Nikolay Kalinskij Elena Rybkina
1986	Klaus Fischer	Svetlana Belyasova	Klaus Fischer Heinz Fischer	Svetlana Belyasova Vlada Belyutina	Vitaliy Shmakov Svetlana Belyasova
1987	Klaus Fischer	Bozena Siemieniec	Jerzy Dolhan Grzegorz Olchowik	Bozena Haracz Bozena Siemieniec	Jerzy Dolhan Bozena Haracz
1988	Andrey Antropov	Bozena Siemieniec	Andrey Antropov Sergey Melnikov	Monika Cassens Petra Michalowsky	Jerzy Dolhan Marzena Masiuk
1989	Andrey Antropov	Suk Chun-sung	Shung Han-kook Hwan Shen-jin	Suk Chun-sung Lee Jung-mi	Han Kook-sung Chung Meong-hee
1990	Ahn Joe-chang	Kang Bok-seung	Lee Sang-bok Hwang Shon-jin	Hwang Young-hye Jung Soon-sooh	Lee Sang-bok Hwang Hye-young
1991	Yoo Young-sung	Park Joo-yun	Young Gil Lee Dong-soo	Soo Yun Shin Young	Young Gil Soo Yun
1992	Peter Bush	Alison Humby	Björn Siegmund Kai Mitteldorf	Tanya Groves Joanne Davies	Heinz Fischer Irina Serova
1993	Hans Sperre	Yoo Eun-young	Kai Mitteldorf Uwe Ossenbrink	Kim Kyung-ran Chung Jae-hee	Valerij Strelcov Elena Nozdran
1994	T. Lundgaard Hansen	Anne Sondergaard	Damian Plaweczki Robert Mateusiak	Sara Hardaker Rebeca Pantaney	Ian Pearson Sara Hardaker
1995	Anders Boesen	Michelle Rasmussen	Julian Robertson Nathan Robertson	Tanya Groves Alison Humby	Jürgen Koch Irina Serova
1996	Peter Janum	Tracey Hallam	Jonas Rasmussen Jan Ø. Jørgensen	Johanna Holgersson Astrid Grabo	Jonas Rasmussen Ann-Lou Jorgensen
1997	Chris Bruil	Elena Nozdran	Michail Popov Svetoslav Stoyanov	Lotte Jonathans Ginny Severien	Norbert van Barneveld Lotte Jonanthans
1998	Ruud Kuijten	Christina Sorensen	Michał Łogosz Robert Mateusiak	Rikke Broen Sara Runesten	Martin Bruim Sara Runesten
1999	Hwang Sun-ho	Kim Ji-hyun	Kim Yong-hyun Yim Bang-eun	Lee Hyo-jung Yim Kyung-jin	Kim Yong-hyun Yim Kyung-jin
2000	Przemysław Wacha	Maja Pohar	Valiyaveetil Diju Thomas Sanave	Mercedes Cuenca Yoana Martínez	José Antonio Crespo Dolores Marco
2001	Jonas Lyduch	Petya Nedelcheva	Johan Holm Joakim Andersson	Elin Bergblom Joana Persson	Andrej Pohar Maja Pohar
2002	Stanislav Pukhov	Elena Sukhareva	Stanislav Pukhov Nikolai Zuyev	Marina Yakusheva Elena Schimko	Sergei Ivlev Natalia Gorodnicheva
2003	Jang Soo-young	Susan Hughes	Hwang Ji-man Lee Jae-jin	Kamila Augustyn Nadiezda Kostiuczyk	Nikolai Zuyev Marina Yakusheva
2004	Bobby Milroy	Petya Nedelcheva	Nikolai Zuyev Sergei Ivlev	Lim Pek Siah Chor Hooi Yee	Ong Ewe Hock Lim Pek Siah
2005	Anup Sridhar	Atu Rosalina	Jürgen Koch Peter Zauner	Anastasia Russkikh Ekaterina Ananina	Vladimir Malkov Anastasia Russkikh
2006	George Rimarcdi	Chie Umezu	Imanuel Hirschfeld Imam Sodikin	Ekaterina Ananina Anastasia Russkikh	Vladimir Malkov Anastasia Russkikh
2007	Jan O Jorgensen	Ragna Ingolfsdottir	Mads Pieler Kolding Peter Mork	Line Damkjaer Kruse Camilla Sørensen	Zhang Yi Cai Jiani
2008	Anand Pawar	Petya Nedelcheva	Kasper Henriksen Christian Skovgaard	Anastasia Prokopenko Olga Golovanova	Vitaly Durkin Nina Vislova
2009	Dieter Domke	Jeanine Cicognini	Adam Cwalina Wojciech Szkudlarczyk	Tatjana Bibik Olga Golovanova	Wojciech Szkudlarczyk Agnieszka Wojtkowska
2010	Ville Lang	Karin Schnaase	Peter Kaesbauer Josche Zurwonne	Johanna Goliszewski Carla Nelte	Jacco Arends Selena Piek
2011	Rasmus Fladberg	Stefani Stoeva	Zvonimir Durkinjak Zvonimir Hoelbling	Natalia Pocztowiak Stasa Poznanovic	Viki Indra Okvana Gustiani Megawati
2012	Vladimir Malkov	Marija Ulitina	Ruud Bosch Jim Middelburg	Carola Bott Stasa Poznanovic	Zvonimir Durkinjak Stasa Poznanovic
