Election Year	Assembly	Winning Party/Coalition	Chief Minister	Speaker
1952	First Assembly	Indian National Congress *	C. Rajagopalachari K. Kamaraj	J. Shivashanmugam Pillai (2)
1957	Second Assembly	Indian National Congress	K. Kamaraj (2)	N. Gopala Menon U. Krishna Rao
1962	Third Assembly	Indian National Congress	K. Kamaraj (3) M. Bakthavatsalam	S. Chellapandian
1967	Fourth Assembly	Dravida Munnetra Kazhagam	C.N. Annadurai M. Karunanidhi	S. P. Adithanar Pulavar K. Govindan
1977	Sixth Assembly	Anna Dravida Munnetra Kazhagam	M.G. Ramachandran	Munu Adhi
1980	Seventh Assembly	Anna Dravida Munnetra Kazhagam	M.G. Ramachandran (2)	Munu Adhi (2) K. Rajaram
1984	Eighth Assembly	Anna Dravida Munnetra Kazhagam	M.G. Ramachandran (3) Janaki Ramachandran	K. Rajaram (2) P. H. Pandian
1989	Ninth Assembly	Dravida Munnetra Kazhagam	M. Karunanidhi (3)	M. Tamilkudimagan
1991	Tenth Assembly	All India Anna Dravida Munnetra Kazhagam	J. Jayalalithaa	R. Muthiah
1996	Eleventh Assembly	Dravida Munnetra Kazhagam	M. Karunanidhi (4)	P. T. R. Palanivel Rajan
2001	Twelfth Assembly	All India Anna Dravida Munnetra Kazhagam	O. Panneerselvam J. Jayalalithaa (2)	K. Kalimuthu A. Arunachalam
2006	Thirteenth Assembly	Dravida Munnetra Kazhagam ( DPA )	M. Karunanidhi (5)	R. Avudaiappan
