Date	Visitor	Score	Home	Record
December 1	Philadelphia	4–5	Vancouver	10–13–3
December 5	Vancouver	1–3	Pittsburgh	10–14–3
December 6	Vancouver	1–4	New York	10–15–3
December 8	New York	1–4	Vancouver	11–15–3
December 9	Vancouver	1–6	California	11–16–3
December 12	California	2–5	Vancouver	12–16–3
December 15	Philadelphia	2–3	Vancouver	13–16–3
December 18	Montreal	4–3	Vancouver	13–17–3
December 20	Vancouver	1–5	New York	13–18–3
December 23	Vancouver	2–7	Toronto	13–19–3
December 26	Chicago	4–2	Vancouver	13–20–3
December 30	Vancouver	4–1	Los Angeles	14–20–3
