Call sign	Frequency MHz	City of license	ERP W	Class	FCC info
K293AO	106.5	Alamosa, Colorado	250	D	FCC
K214DE	90.7	Antonito, Colorado	10	D	FCC
K218AK	91.5	Artesia, New Mexico	63	D	FCC
K201CY	88.1	Clovis, New Mexico	170	D	FCC
K207CQ	89.3	Gallup, New Mexico	100	D	FCC
K244DT	96.7	Grants, New Mexico	221	D	FCC
K211CW	90.1	Hobbs, New Mexico	57	D	FCC
K201CC	88.1	Las Cruces, New Mexico	250	D	FCC
K228DQ	93.5	Portales, New Mexico	174	D	FCC
K229AL	93.7	Questa, New Mexico	250	D	FCC
K250AB	97.9	Roswell, New Mexico	55	D	FCC
K220CE	91.9	Ruidoso, New Mexico	82	D	FCC
K212EH	90.3	Silver City, New Mexico	2	D	FCC
K216CK	91.1	Truth Or Consequence, New Mexico	10	D	FCC
