Rnd	Circuit	AP Winning Team	BP Winning Team	CM Winning Team	CP Winning Team	DM Winning Team	DP Winning Team	EM Winning Team	EP Winning Team	FM Winning Team	FP Winning Team	GM Winning Team	GP Winning Team	HM Winning Team	HP Winning Team	Results
1	Marlboro	Shelby	Chevrolet	Genie- Ford	Porsche	Ferrari	Triumph	Elva - Porsche	Porsche	Elva	Lotus	Lola	Triumph	Osca	Austin-Healey	Results
1	Marlboro	Charlie Hayes	Robert Mouat	Ed Lowther	Bruce Jennings	Tom O'Brien	Bob Tullius	Skip Scott	Hans Zereis	Dick Young	Bob Sharp	Art Tweedale	Erwin Lorincz	John Gordon	Carl Truitt	Results
2	VIR	#41 Roger Penske	#1 Chevrolet	#7 Genie- Ford	#77 Porsche	no finishers	#44 Triumph	no entries	#12 Volvo	#3 Lotus	#22 Porsche	#55 Elva	#31 Morgan	#9 Lotus - Saab	#72 Fiat - Abarth	Results
2	VIR	Mark Donohue	Don Yenko	Ed Lowther	Bruce Jennings	no finishers	Bob Tullius	no entries	Art Riley	Mike Goth	Ron Grable	Roger Donovan	Pete Van der Vate	Ed Walsh	Ron Catalano	Results
3	Cumberland	#33 Bob Johnson	#11 Don Yenko	#79 William Wissel	#6 Dave Clark	#87 Tom O'Brien	#44 Robert Tullius	#11 Barbara C. Cole	#77 M.A. Russell	#85 Donald E. Wolf	#23 Brooks Noah	Stuart Northrup	#53 R&S Import Motors	#9 Edward Walsh	#33 Carl Truitt	Results
3	Cumberland	Bob Johnson	Don Yenko	Ed Smith	Dave Clark	Tom O'Brien	Bob Tullius	Skip Scott	Bruce Jennings	Don Wolf	Brooks Noah	Stuart Northrup	Marianne Rollo	Ed Walsh	Carl Truitt	Results
4	Bridgehampton	Shelby	Chevrolet	#5 Genie- Ford	Lotus	#87 Ferrari	Austin-Healey	#7 Robert Bosch	Porsche	#17 Elva - Ford	Sports Car Forum	Lola	Morgan	Lotus - Saab	Austin-Healey	Results
4	Bridgehampton	Bob Johnson	Frank Dominianni	William Wonder	Dave Clark	Tom O'Brien	Jim Ladd	Joe Buzzetta	Lake Underwood	Jack Lofland	Don Sesslar	M. R. J. Wyllie	Pete Van der Vate	Ed Walsh	Carl Truitt	Results
5	Mid-Ohio	Chevrolet	Chevrolet	Gates Chevrolet	Lotus	no entries	Triumph	no entries	#37 Porsche	Elva	Sports Car Forum	Elva	Morgan	Lotus - Saab	Austin-Healey	Results
5	Mid-Ohio	Dick Lang	Frank Dominianni	Bud Gates	Dave Clark	no entries	Bob Tullius	no entries	Lake Underwood	Ernie Harris	Don Sesslar	Jack Lawrence	Pete Van der Vate	Ed Walsh	Paul Petrun	Results
6	Road America	Shelby	Chevrolet	Cro-Sal	Porsche	Ferrari	Triumph	Elva - Porsche	Alfa Romeo	Elva	Sports Car Forum	Merlyn- Cosworth	Triumph	Martin T	Austin-Healey	Results
6	Road America	Bob Johnson	Don Yenko	Ralph Salyer	Bruce Jennings	Dudley Davis	Jim Spencer	Lee Hall	Al Allin	Don Wolf	Don Sesslar	Charles Barns	Bob Clemens	Martin Tanner	Larry Skeels	Results
7	Lake Garnett	#54 Robert Cross	Dave Dooley	#61 Jack Hinkle	no finishers	no entries	#13 John Goans, Jr.	no entries	#77 Leonard Janke	no finishers	#74 Don Sesslar	#96 Charles Barns	#4 Tommy Allen	#9 Ed Walsh	#56 Richard Alley	Results
7	Lake Garnett	Bob Cross	Dave Dooley	Jack Hinkle	no finishers	no entries	John Goans	no entries	Leonard Janke	no finishers	Don Sesslar	Charles Barns	Tommy Allen	Ed Walsh	Richard Alley	Results
8	Lynndale Farms	Shelby	no entries	Cro-Sal	Lotus	Ferrari	Triumph	Elva - Porsche	Porsche	Elva	Lotus	Merlyn- Cosworth	Porsche	Lotus - Saab	Austin-Healey	Results
8	Lynndale Farms	Bob Johnson	no entries	Ralph Salyer	Dudley Davis	Dudley Davis	Jim Spencer	Lee Hall	Jerry Frydenlund	Don Wolf	Brooks Noah	Charles Barns	Evan Morell	Ed Walsh	Larry Skeels	Results
