Date	Visitor	Score	Home	Decision	Record
February 1	Buffalo	4 – 5	Atlanta	Lehtonen	25–25–4
February 2	Atlanta	2 – 0	Washington	Lehtonen	26–25–5
February 5	Philadelphia	3 – 2	Atlanta	Lehtonen	26–26–5
February 7	Vancouver	2 – 1	Atlanta	Lehtonen	26–27–5
February 9	Tampa Bay	1 – 2	Atlanta	Lehtonen	27–27–5
February 13	Washington	2 – 3	Atlanta	Lehtonen	28–27–5
February 15	Atlanta	4 – 3	New Jersey	Hedberg	29–27–5
February 16	Atlanta	1 – 4	NY Islanders	Lehtonen	29–28–5
February 21	Atlanta	3 – 5	Carolina	Lehtonen	29–29–5
February 23	Atlanta	1 – 3	Toronto	Lehtonen	29–30–5
February 26	Atlanta	1 – 5	Montreal	Lehtonen	29–31–5
February 28	NY Islanders	5 – 4	Atlanta	Lehtonen	29–31–6
