Sector	Establishments	Sales, receipts, or shipments ($1,000)	Annual payroll ($1,000)	Paid employees
Mining	24087	182911093	21173895	477840
Utilities	17103	398907044	42417830	663044
Construction	710307	1196555587	254292144	7193069
Manufacturing	350828	3916136712	576170541	14699536
Wholesale trade	435521	4634755112	259653080	5878405
Retail trade	1114637	3056421997	302113581	14647675
Transportation & warehousing	199618	382152040	115988733	3650859
Information	137678	891845956	194670163	3736061
Finance & insurance	440268	2803854868	377790172	6578817
Real estate & rental & leasing	322815	335587706	60222584	1948657
Professional, scientific, & technical services	771305	886801038	376090052	7243505
Management of companies & enterprises	49308	107064264	178996060	2605292
Educational services	49319	30690707	10164378	430164
Health care & social assistance	704526	1207299734	495845829	15052255
Arts, entertainment, & recreation	110313	141904109	45169117	1848674
Accommodation & food services	565590	449498718	127554483	10120951
Other services (except public administration )	537576	307049461	82954939	3475310
