Game	Date	Opponent	Score	Location	Record
31	Thu. Jan. 2	@ Indiana Pacers	122–104	Market Square Arena	24–7
32	Fri. Jan. 3	New Jersey Nets	129–117	Boston Garden	25–7
33	Tue. Jan. 7	@ Detroit Pistons	109–113	Pontiac Silverdome	25–8
34	Wed. Jan. 8	Cleveland Cavaliers	126–95	Boston Garden	26–8
35	Fri. Jan. 10	Atlanta Hawks	115–108	Boston Garden	27–8
36	Wed. Jan. 15	Denver Nuggets	123–100	Boston Garden	28–8
37	Fri. Jan. 17	@ Indiana Pacers	123–105	Market Square Arena	29–8
38	Sat. Jan. 18	@ Atlanta Hawks	125–122 (OT)	The Omni	30–8
39	Wed. Jan. 22	Los Angeles Lakers	110–95	Boston Garden	31–8
40	Fri. Jan. 24	Golden State Warriors	135–114	Boston Garden	32–8
41	Sun. Jan. 26	Philadelphia 76ers	105–103	Boston Garden	33–8
42	Thu. Jan. 30	@ Chicago Bulls	101–91	Chicago Stadium	34–8
43	Fri. Jan. 31	@ Washington Bullets	97–88	Capital Centre	35–8
