Year	Day	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1950	Monday	September 4	Johnny Mantz	Hubert Westmoreland	Plymouth	400	500 (804.672)	6:38:40	75.25	Report
1951	Monday	September 3	Herb Thomas	Herb Thomas	Hudson	400	500 (804.672)	6:30:05	76.906	Report
1952	Monday	September 1	Fonty Flock	Frank Christian	Oldsmobile	400	500 (804.672)	6:42:37	74.512	Report
1953	Monday	September 7	Buck Baker	Bob Griffin	Oldsmobile	364	500.5 (805.476)	5:23:19	92.881	Report
1954	Monday	September 6	Herb Thomas	Herb Thomas	Hudson	364	500.5 (805.476)	5:16:01	95.026	Report
1955	Monday	September 5	Herb Thomas	Herb Thomas	Chevrolet	364	500.5 (805.476)	5:25:25	92.281	Report
1956	Monday	September 3	Curtis Turner	Charlie Schwam	Ford	364	500.5 (805.476)	5:15:33	95.167	Report
1957	Monday	September 2	Speedy Thompson	Speedy Thompson	Chevrolet	364	500.5 (805.476)	5:00:01	100.094	Report
1958	Monday	September 1	Fireball Roberts	Frank Strickland	Chevrolet	364	500.5 (805.476)	4:52:44	102.585	Report
1959	Monday	September 7	Jim Reed	Jim Reed	Chevrolet	364	500.5 (805.476)	4:28:30	111.836	Report
1960	Monday	September 5	Buck Baker	Jack Smith	Pontiac	364	500.5 (805.476)	4:43:34	105.901	Report
1961	Monday	September 4	Nelson Stacy	Dudley Farrell	Ford	364	500.5 (805.476)	4:54:45	117.787	Report
1962	Monday	September 3	Larry Frank	Ratus Walters	Ford	364	500.5 (805.476)	4:14:34	117.965	Report
1963	Monday	September 2	Fireball Roberts	Holman-Moody	Ford	364	500.5 (805.476)	3:51:23	129.784	Report
1964	Monday	September 7	Buck Baker	Ray Fox	Dodge	364	500.5 (805.476)	4:15:01	117.757	Report
1965	Monday	September 6	Ned Jarrett	Bondy Long	Ford	364	500.5 (805.476)	4:19:09	115.878	Report
1966	Monday	September 5	Darel Dieringer	Bud Moore Engineering	Mercury	364	500.5 (805.476)	4:21:31	114.83	Report
1967	Monday	September 4	Richard Petty	Petty Enterprises	Plymouth	364	500.5 (805.476)	3:50:15	130.423	Report
1968	Monday	September 2	Cale Yarborough	Wood Brothers Racing	Mercury	364	500.5 (805.476)	3:58:05	126.132	Report
1969	Monday	September 1	LeeRoy Yarbrough	Junior Johnson & Associates	Ford	230*	316.25 (508.955)	2:59:40	105.612	Report
1970	Monday	September 7	Buddy Baker	Cotton Owens	Dodge	367	501.322 (806.799)	3:55:03	128.817	Report
1971	Monday	September 6	Bobby Allison	Holman-Moody	Mercury	367	501.322 (806.799)	3:48:55	131.398	Report
1972	Monday	September 4	Bobby Allison	Richard Howard	Chevrolet	367	501.322 (806.799)	3:54:46	128.124	Report
1973	Monday	September 3	Cale Yarborough	Richard Howard	Chevrolet	367	501.322 (806.799)	3:44:25	134.033	Report
1974	Monday	September 2	Cale Yarborough	Junior Johnson & Associates	Chevrolet	367	501.322 (806.799)	4:30:48	111.075	Report
1975	Monday	September 1	Bobby Allison	Penske Racing	Matador	367	501.322 (806.799)	4:17:28	116.825	Report
1976	Monday	September 5*	David Pearson	Wood Brothers Racing	Mercury	367	501.322 (806.799)	4:09:33	120.534	Report
1977	Monday	September 5	David Pearson	Wood Brothers Racing	Mercury	367	501.322 (806.799)	4:41:48	106.797	Report
1978	Monday	September 4	Cale Yarborough	Junior Johnson & Associates	Oldsmobile	367	501.322 (806.799)	4:17:46	116.828	Report
