No. in series	Title	Directed by	Written by	Original airdate	Production code
1	"The Day that Everything Changed"	Sam Montes	Man of Action	April 23, 2010	693-001
2	"String Theory"	Rick Morales	Man of Action	April 30, 2010	693-002
3	"Beyond the Sea"	Chris Graham	Man of Action	May 7, 2010	693-003
4	"Lockdown"	Sam Montes	Scott Sonneborn	May 14, 2010	693-004
5	"The Architect"	Rick Morales	Amy Wolfram	May 21, 2010	693-005
6	"Frostbite"	Chris Graham	Marty Isenberg	May 28, 2010	693-006
7	"Leader of the Pack"	Sam Montes	Alexx Van Dyne	June 4, 2010	693-007
8	"Breach"	Chris Graham	Adam Beechen	June 11, 2010	693-009
9	"Dark Passage"	Sam Montes	Marsha Griffin	June 18, 2010	693-010
10	"The Forgotten"	Rick Morales	Paul Giacoppo	September 17, 2010	693-011
11	"Operation: Wingman"	Chris Graham	Eugene Son	September 24, 2010	693-012
12	"Rabble"	Sam Montes	Rob Hoegee	October 1, 2010	693-013
13	"The Hunter"	Rick Morales	Michael Ryan	October 8, 2010	693-008
14	"Gravity"	Rick Morales	Andrew Robinson	October 15, 2010	693-014
15	"What Lies Beneath"	Chris Graham	Marsha Griffin	October 22, 2010	693-015
16	"The Swarm"	Sam Montes	Paul Giacoppo	October 29, 2010	693-016
17	"Basic"	Rick Morales	Scott Sonneborn	November 5, 2010	693-017
18	"Plague"	Chris Graham	Tad Stones	November 12, 2010	693-018
19	"Promises, Promises"	Sam Montes	Man of Action	November 19, 2010	693-019
20	"Badlands"	Rick Morales	Eugene Son	December 3, 2010	693-021
