Week	Date	Opponent	Result	Attendance
1	September 21, 1975	Los Angeles Rams	W 18–7	49,091
2	September 28, 1975	St. Louis Cardinals	W 37–31	52,417
3	October 6, 1975	at Detroit Lions	W 36–10	79,384
4	October 12, 1975	at New York Giants	W 13–7	56,511
5	October 19, 1975	Green Bay Packers	L 19–17	64,189
6	October 26, 1975	at Philadelphia Eagles	W 20–17	64,889
7	November 2, 1975	at Washington Redskins	L 30–24	55,004
8	November 10, 1975	Kansas City Chiefs	L 34–31	63,539
9	November 16, 1975	at New England Patriots	W 34–31	60,905
10	November 23, 1975	Philadelphia Eagles	W 27–17	57,893
11	November 30, 1975	New York Giants	W 14–3	53,329
12	December 7, 1975	at St. Louis Cardinals	L 31–17	49,701
13	December 13, 1975	Washington Redskins	W 31–10	61,091
14	December 21, 1975	at New York Jets	W 31–21	37,279
