Year	Championship	54 holes	Winning score	Margin of victory	Runner(s)-up
1999	WGC-NEC Invitational	5 shot lead	–10 (66-71-62-71=270)	1 stroke	Phil Mickelson
1999	WGC-American Express Championship	1 shot deficit	–6 (71-69-70-68=278)	Playoff 1	Miguel Ángel Jiménez
2000	WGC-NEC Invitational (2)	9 shot lead	–21 (64-61-67-67=259)	11 strokes	Justin Leonard , Phillip Price
2001	WGC-NEC Invitational (3)	2 shot deficit	–12 (66-67-66-69=268)	Playoff 2	Jim Furyk
2002	WGC-American Express Championship (2)	5 shot lead	–25 (65-65-67-66=263)	1 stroke	Retief Goosen
2003	WGC-Accenture Match Play Championship	n/a	2 & 1	2 & 1	David Toms
2003	WGC-American Express Championship (3)	2 shot lead	–6 (67-66-69-72=274)	2 strokes	Stuart Appleby , Tim Herron , Vijay Singh
2004	WGC-Accenture Match Play Championship (2)	n/a	3 & 2	3 & 2	Davis Love III
2005	WGC-NEC Invitational (4)	Tied for lead	–6 (66-70-67-71=274)	1 stroke	Chris DiMarco
2005	WGC-American Express Championship (4)	2 shot deficit	–10 (67-68-68-67=270)	Playoff 3	John Daly
2006	WGC-American Express Championship (5)	6 shot lead	–23 (63-64-67-67=261)	8 strokes	Ian Poulter , Adam Scott
