Name	Height	Weight	Spike	2008 club
Aleksandr Korneev Category:Articles with hCards	m ()	kg (lb)	cm (in)	Zenit Kazan
Semen Poltavskiy Category:Articles with hCards	m ()	kg (lb)	cm (in)	Dynamo Moscow
Aleksandr Kosarev Category:Articles with hCards	m ()	kg (lb)	cm (in)	Lokomotiv-Belogorie
Sergey Grankin Category:Articles with hCards	m ()	kg (lb)	cm (in)	Dynamo Moscow
Sergey Tetyukhin Category:Articles with hCards	m ()	kg (lb)	cm (in)	Lokomotiv-Belogorie
Vadim Khamuttskikh Category:Articles with hCards	m ()	kg (lb)	cm (in)	Lokomotiv-Belogorie
Yury Berezhko Category:Articles with hCards	m ()	kg (lb)	cm (in)	Dynamo Moscow
Aleksey Ostapenko Category:Articles with hCards	m ()	kg (lb)	cm (in)	Dynamo Moscow
Aleksandr Volkov Category:Articles with hCards	m ()	kg (lb)	cm (in)	Dynamo Moscow
Aleksey Verbov Category:Articles with hCards	m ()	kg (lb)	cm (in)	Iskra Odintsovo
Maxim Mikhaylov Category:Articles with hCards	m ()	kg (lb)	cm (in)	Yaroslavich
Aleksey Kuleshov Category:Articles with hCards	m ()	kg (lb)	cm (in)	Iskra Odintsovo
