Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	7-4	Ashley Sanchez	Decision (unanimous)	RFA 2 - Yvel vs. Alexander	3	5:00	Kearney, Nebraska , United States
Win	6-4	Angela Samaro	TKO (elbows)	KOTC - Shockwave	3	1:00	Oroville, California , United States
Win	5-4	Shana Olsen	Decision (unanimous)	Crowbar MMA - Spring Brawl 2	3	5:00	Fargo, North Dakota , United States
Loss	4-4	Shayna Baszler	Submission (kneebar)	The Cage Inc. - Battle At The Border 7	1	4:03	Hankinson, North Dakota , United States
Win	4-3	Alexis Davis	Decision (unanimous)	RW 9: Mayhem In The Mist 4	3	5:00	Niagara Falls, New York , United States
Win	3-3	Lizbeth Carreiro	TKO (punches)	Freestyle Cage Fighting 44	1	2:55	Claremore, Oklahoma , United States
Loss	2-3	Miesha Tate	Decision (unanimous)	Strikeforce: Melendez vs. Thomson	3	3:00	San Jose, California , United States
Win	2-2	Michelle Maher	Decision (split)	MOTM - Melee on the Mountain	5	5:00	Friant, California , United States
Loss	1-2	Michelle Maher	Decision (unanimous)	Strikeforce: Young Guns	3	3:00	San Jose, California , United States
Loss	1-1	Gina Carano	Decision (unanimous)	Strikeforce: Triple Threat	3	2:00	San Jose, California , United States
Win	1-0	Michelle Maher	KO (punches)	WC - Warriors Cup	1	1:05	Stockton, California , United States
