Pick #	Player	Position	Nationality	NHL team	College/junior/club team
33	Dave Lewis	Defence	Canada	New York Islanders	Saskatoon Blades (WCHL)
34	Jeff Jacques	Centre	Canada	California Golden Seals	St. Catharines Black Hawks (OHA)
35	Paul Sheard	Right Wing	United Kingdom Canada	Vancouver Canucks	Ottawa 67's (OHA)
36	Doug Gibson	Centre	Canada	Boston Bruins	Peterborough Petes (OHA)
37	Ed Humphreys	Goaltender	Canada	Montreal Canadiens	Saskatoon Blades (WCHL)
38	Russ Walker	Right Wing	Canada	Los Angeles Kings	Saskatoon Blades (WCHL)
39	Nelson Pyatt	Centre	Canada	Detroit Red Wings	Oshawa Generals (OHA)
40	Bob Stumpf	Right Wing	Canada	Philadelphia Flyers	New Westminster Bruins (WCHL)
41	Rick Chinnick	Right Wing	Canada	Minnesota North Stars	Peterborough Petes (OHA)
42	Mike Clarke	Centre	Canada	Philadelphia Flyers	Calgary Centennials (WCHL)
43	Robbie Neale	Centre	Canada	Detroit Red Wings	Brandon Wheat Kings (WCHL)
44	Andre Deschamps	Left Wing	Canada	Buffalo Sabres	Quebec Remparts (QMJHL)
45	Randy Holt	Defence	Canada	Chicago Black Hawks	Sudbury Wolves (OHA)
46	John Campbell	Left Wing	Canada	New York Rangers	Sault Ste. Marie Greyhounds (OHA)
47	Al Sims	Defence	Canada	Boston Bruins	Cornwall Royals (QMJHL)
48	Bob Gassoff	Defence	Canada	St. Louis Blues	Medicine Hat Tigers (WCHL)
