Season	1st Round	2nd Round	3rd Round	Finals
1994–95	L, 0-4, CVT	—	—	—
1995–96	L, 0-4, FER	—	—	—
1996–97	W, 4-3, CVT	L, 0-4, CRA	—	—
1997–98	W, 2-0, CAS	L, 0-4, KIM	—	—
1998–99	L, 3-4, FER	—	—	—
1999–00	W, 4-2, CAS	W, BV	—	W, SIC
2000–01	L, 0-4, BV	—	—	—
2001–02	L, 1-4, CAS	—	—	—
2002–03	W, 4-2, SPO	L, 3-4, BV	—	—
2003–04	L, 3-4, SPO	—	—	—
2004–05	L, 0-4, BV	—	—	—
2005–06	W, 4-1, CAS	L, 0-4, BV	—	—
2006–07	W, 4-0, SPO	W, 4-2, BV	Bye	L, 2-4, FER
2007–08	Bye	L, 3-4, BV	—	—
2008–09	W, 4-1, SPO	W, 4-0, CAS	W, 3-0, FER	W, 4-0, KAM
2009–10	W, 4-3, BV	W, 4-3 SPO	W, 4-1 FER	L, 1-4 REV
2010-11	L, 3-4, BV	—	—	—
2011-12	L, 1-4, CAS	—	—	—
